PRESCRIBER_SPECIALTY,FILLED_YEAR,TOTAL_FILLED,TOTAL_REFILLED,AVG_DAYS_SUPPLIED,MIN_DAYS_SUPPLIED,MAX_DAYS_SUPPLIED,MEDIAN_DAYS_SUPPLIED,0-5 DAYS SUPPLIED,6-10 DAYS SUPPLIED,11-20 DAYS SUPPLIED,21-30 DAYS SUPPLIED,31-60 DAYS SUPPLIED,61-90 DAYS SUPPLIED,91+ DAYS SUPPLIED
Pharmacist,2009,139,141,15.978417,1,30,10,42,31,9,57,0,0,0
Pharmacist,2010,94,96,18.24468,2,30,21.5,20,20,7,47,0,0,0
Pharmacist,2011,1,2,30,30,30,30,0,0,0,1,0,0,0
Pharmacist,2013,1,0,6,6,6,6,0,1,0,0,0,0,0
Pharmacist,2014,1,0,6,6,6,6,0,1,0,0,0,0,0
Pharmacist,2020,1,5,6,6,6,6,0,1,0,0,0,0,0
Pharmacist,2022,1,4,30,30,30,30,0,0,0,1,0,0,0
Phlebology,2005,312,28,11.073717,2,375,7,120,142,35,10,1,2,2
Phlebology,2006,1054,189,10.639468,1,625,7,424,391,171,51,4,11,2
Phlebology,2007,618,112,9.375404,1,90,7,184,310,91,29,2,2,0
Phlebology,2008,429,47,8.109557,1,90,7,169,197,47,14,0,2,0
Phlebology,2009,540,107,7.551851,1,30,7,217,244,58,21,0,0,0
Phlebology,2010,402,152,8.126865,1,90,7,158,189,36,15,2,2,0
Phlebology,2011,180,108,6.566666,2,30,7,79,88,9,4,0,0,0
Phlebology,2012,188,49,5.010638,1,45,4.5,130,55,2,0,1,0,0
Phlebology,2013,162,51,6.265432,2,30,7,70,86,4,2,0,0,0
Phlebology,2014,203,89,10.783251,1,68,7,76,72,20,33,1,1,0
Phlebology,2015,227,38,12.828193,1,30,8,34,103,45,45,0,0,0
Phlebology,2016,140,34,11.071428,2,30,8,27,61,42,10,0,0,0
Phlebology,2017,18,3,6.888888,1,30,5,11,5,1,1,0,0,0
Phlebology,2018,19,2,5.789473,1,15,5,10,8,1,0,0,0,0
Phlebology,2019,31,2,5.677419,3,10,5,18,13,0,0,0,0,0
Phlebology,2020,6,0,5.666666,1,7,7,2,4,0,0,0,0,0
Phlebology,2021,7,1,9.714285,5,30,7,1,5,0,1,0,0,0
Phlebology,2022,5,0,10.6,4,30,7,2,2,0,1,0,0,0
Phlebology,2023,3,0,9.666666,7,15,7,0,2,1,0,0,0,0
Physical Medicine & Rehabilitation,2005,56780,13519,22.316167,0,999,30,9469,6958,6894,32226,444,684,105
Physical Medicine & Rehabilitation,2006,94795,23192,21.994925,0,999,30,16104,11342,12037,53598,737,837,140
Physical Medicine & Rehabilitation,2007,107495,30336,22.377022,0,999,30,16914,11677,13384,63904,732,761,123
Physical Medicine & Rehabilitation,2008,135498,39583,22.347606,0,999,30,20162,15467,16361,81841,676,835,155
Physical Medicine & Rehabilitation,2009,170819,49453,21.669597,0,999,30,30933,18485,18393,101119,862,901,126
Physical Medicine & Rehabilitation,2010,175119,46741,22.782599,0,999,30,25986,16450,18933,111655,786,1229,77
Physical Medicine & Rehabilitation,2011,174667,54148,22.867582,0,999,30,24647,15815,18748,113424,796,1220,17
Physical Medicine & Rehabilitation,2012,196869,54677,22.894279,0,600,30,26897,18392,20658,128923,795,1190,12
Physical Medicine & Rehabilitation,2013,199613,48015,23.958334,0,720,30,19107,18890,19837,140141,748,874,14
Physical Medicine & Rehabilitation,2014,193906,34293,25.629196,0,303,30,9137,15557,18225,149682,555,744,6
Physical Medicine & Rehabilitation,2015,217011,18728,26.174378,0,405,30,7567,16698,18463,172819,592,855,17
Physical Medicine & Rehabilitation,2016,234050,22603,26.257402,0,240,30,8351,18677,17046,188448,685,828,15
Physical Medicine & Rehabilitation,2017,236700,31846,25.489163,1,360,30,10463,25323,15306,184201,666,731,9
Physical Medicine & Rehabilitation,2018,239541,27539,24.316025,0,230,30,11374,36811,14595,175769,470,514,8
Physical Medicine & Rehabilitation,2019,248452,29901,23.609763,1,150,30,11347,44487,16485,175480,316,334,3
Physical Medicine & Rehabilitation,2020,224415,30552,24.493371,1,300,30,7127,34137,16464,166151,214,315,7
Physical Medicine & Rehabilitation,2021,206208,35221,24.85854,1,303,30,7095,22755,22004,153906,214,229,5
Physical Medicine & Rehabilitation,2022,200318,53235,24.432602,1,180,30,6182,26239,21857,145576,228,235,1
Physical Medicine & Rehabilitation,2023,188625,48125,24.189126,1,120,30,6210,24434,23167,134397,189,220,8
Physical Therapist,2005,7,0,7.142857,2,15,5,5,0,2,0,0,0,0
Physical Therapist,2006,13,0,4.538461,1,12,4,11,0,2,0,0,0,0
Physical Therapist,2007,36,13,3.138888,1,9,3,34,2,0,0,0,0,0
Physical Therapist,2008,38,0,4,1,5,4.5,38,0,0,0,0,0,0
Physical Therapist,2009,38,0,4.105263,1,10,4,36,2,0,0,0,0,0
Physical Therapist,2010,38,0,3.736842,1,15,3,36,1,1,0,0,0,0
Physical Therapist,2011,27,3,3.629629,1,14,3,25,1,1,0,0,0,0
Physical Therapist,2012,23,0,5.347826,2,30,4,20,1,1,1,0,0,0
Physical Therapist,2013,19,2,5.210526,2,15,4,14,4,1,0,0,0,0
Physical Therapist,2014,24,0,3.666666,2,7,4,22,2,0,0,0,0,0
Physical Therapist,2015,53,0,4.018867,2,7,4,48,5,0,0,0,0,0
Physical Therapist,2016,71,0,4.253521,2,12,4,68,2,1,0,0,0,0
Physical Therapist,2017,95,0,3.473684,1,15,3,91,2,2,0,0,0,0
Physical Therapist,2018,65,0,2.738461,1,6,3,64,1,0,0,0,0,0
Physical Therapist,2019,63,0,2.301587,1,3,2,63,0,0,0,0,0,0
Physical Therapist,2020,65,0,2.646153,1,5,3,65,0,0,0,0,0,0
Physical Therapist,2021,63,0,2.111111,1,4,2,63,0,0,0,0,0,0
Physical Therapist,2022,65,0,2.830769,1,30,2,62,1,1,1,0,0,0
Physical Therapist,2023,62,0,1.98387,1,5,2,62,0,0,0,0,0,0
Physician Assistant,2005,216,103,10.671296,2,40,6,107,45,34,29,1,0,0
Physician Assistant,2006,503,163,9.648111,1,37,6,248,130,65,59,1,0,0
Physician Assistant,2007,1140,228,7.08421,1,30,5,714,272,71,83,0,0,0
Physician Assistant,2008,8472,632,5.528564,1,875,4,6230,1472,474,282,10,2,2
Physician Assistant,2009,13827,812,5.3018,0,875,4,10344,2288,865,318,5,4,3
Physician Assistant,2010,16207,861,5.043191,0,667,4,12447,2804,669,262,13,3,9
Physician Assistant,2011,21950,2569,5.993895,0,120,4,16025,3677,909,1329,7,2,1
Physician Assistant,2012,28157,4074,7.160457,0,90,4,19065,4975,1335,2751,27,4,0
Physician Assistant,2013,35325,3744,9.809766,0,90,5,20987,5583,1907,6810,29,9,0
Physician Assistant,2014,49567,5198,11.756047,0,90,5,25147,8615,2965,12764,45,31,0
Physician Assistant,2015,123048,48550,19.53588,0,90,30,32743,13895,7433,68842,89,46,0
Physician Assistant,2016,103260,31613,17.817557,1,90,15,32302,13829,6743,50243,83,60,0
Physician Assistant,2017,78091,16747,14.849816,1,300,8,29672,14516,4687,29114,69,32,1
Physician Assistant,2018,73800,14004,14.775365,0,350,7,25780,16807,3645,27453,73,39,3
Physician Assistant,2019,68403,6505,13.264681,1,90,7,25988,17434,3545,21357,53,26,0
Physician Assistant,2020,68058,12035,14.272987,1,130,7,24348,16275,3510,23832,48,43,2
Physician Assistant,2021,83982,24243,13.05419,1,120,7,27361,28044,3649,24838,40,49,1
Physician Assistant,2022,80304,15051,10.946428,1,90,7,28905,30233,4234,16861,35,36,0
Physician Assistant,2023,79246,13805,11.046791,1,90,7,29932,27520,4500,17207,59,28,0
Plastic Surgery,2005,9524,2957,6.296409,1,875,5,7125,2135,158,75,7,0,24
Plastic Surgery,2006,14330,3635,5.410188,0,875,5,11029,2896,237,142,8,5,13
Plastic Surgery,2007,14702,4535,5.438919,0,875,5,11515,2824,216,114,8,6,19
Plastic Surgery,2008,15034,4509,4.968404,0,625,5,11764,2929,227,101,5,7,1
Plastic Surgery,2009,16019,4343,5.0098,0,667,5,12343,3332,236,99,3,2,4
Plastic Surgery,2010,15950,4435,4.944827,0,667,5,12479,3166,185,109,2,6,3
Plastic Surgery,2011,15406,5257,4.762105,0,375,4,12533,2534,223,111,0,4,1
Plastic Surgery,2012,16077,6047,4.807115,1,90,4,13040,2672,237,116,7,5,0
Plastic Surgery,2013,14624,4590,4.76224,1,90,4,11910,2397,230,80,3,4,0
Plastic Surgery,2014,13713,3110,4.763727,1,80,4,11166,2293,196,57,0,1,0
Plastic Surgery,2015,13876,325,5.148601,1,70,5,10477,3022,284,86,6,1,0
Plastic Surgery,2016,14404,359,5.314773,1,60,5,10298,3579,447,77,3,0,0
Plastic Surgery,2017,13536,367,5.084293,1,50,5,9955,3197,305,75,4,0,0
Plastic Surgery,2018,13112,301,4.744356,1,56,5,9751,3220,112,26,3,0,0
Plastic Surgery,2019,12924,212,4.61289,1,60,5,9835,2999,66,18,6,0,0
Plastic Surgery,2020,11951,199,4.537862,1,40,5,9198,2700,39,13,1,0,0
Plastic Surgery,2021,14023,204,4.538971,1,30,5,10929,3019,52,23,0,0,0
Plastic Surgery,2022,13824,110,4.345775,1,56,4,11055,2708,44,15,2,0,0
Plastic Surgery,2023,14089,131,4.362623,1,40,4,10984,3036,50,17,2,0,0
Podiatrist,2005,28729,10935,8.92283,0,999,5,16637,6952,2460,2526,72,29,53
Podiatrist,2006,44646,13874,8.436388,0,833,5,25641,11518,3413,3833,143,56,42
Podiatrist,2007,51002,16145,8.514195,0,999,5,28310,14055,3935,4425,183,49,45
Podiatrist,2008,52568,16996,8.550258,0,894,5,27950,15147,4615,4626,157,54,19
Podiatrist,2009,54075,15438,9.357577,0,999,6,26634,16071,5177,5936,174,45,38
Podiatrist,2010,54035,15809,10.330711,0,999,6,24357,16706,5501,7166,182,70,53
Podiatrist,2011,51198,18238,10.206355,0,999,6,23029,15952,5090,6878,153,57,39
Podiatrist,2012,54918,19966,10.03538,0,999,6,25068,16688,5465,7396,192,66,43
Podiatrist,2013,54338,15105,9.723655,0,800,6,25097,16706,5433,6872,161,38,31
Podiatrist,2014,50586,11596,9.82847,0,999,6,22673,16344,4904,6408,172,63,22
Podiatrist,2015,52548,4413,10.383097,0,400,7,20437,19067,5721,6981,228,97,17
Podiatrist,2016,52066,3277,9.84364,1,500,7,20496,20066,5373,5857,190,65,18
Podiatrist,2017,49777,3395,8.932157,1,120,7,20803,20284,3917,4580,130,62,1
Podiatrist,2018,41623,2270,8.073108,0,120,6,19096,17076,2080,3286,49,34,2
Podiatrist,2019,40785,1484,7.775407,1,100,7,18596,17579,1506,3050,37,16,1
Podiatrist,2020,37719,1585,7.871629,1,90,7,17018,16390,1301,2956,38,16,0
Podiatrist,2021,37785,1334,7.826068,1,90,7,15128,18704,1036,2869,36,12,0
Podiatrist,2022,37078,1157,7.706645,1,100,7,14717,18592,1090,2632,25,20,2
Podiatrist,2023,36878,879,7.583681,1,120,7,14835,18542,1015,2435,15,33,3
Preventive Medicine,2005,4095,1480,9.816361,0,180,5,2302,784,297,626,74,9,3
Preventive Medicine,2006,6916,3054,11.250144,0,180,6,3416,1382,596,1425,80,16,1
Preventive Medicine,2007,7667,3744,12.12182,0,333,6,3672,1404,657,1870,39,24,1
Preventive Medicine,2008,9961,4555,11.878526,1,180,6,4924,1759,723,2518,17,19,1
Preventive Medicine,2009,10241,2877,12.14354,0,180,6,5093,1593,843,2658,37,16,1
Preventive Medicine,2010,9976,2147,12.456395,0,300,6,4580,1893,881,2562,26,32,2
Preventive Medicine,2011,9175,3213,14.508446,1,90,8,3560,1693,782,3090,22,28,0
Preventive Medicine,2012,8544,4513,15.239934,0,100,10,3111,1468,811,3110,14,29,1
Preventive Medicine,2013,7542,1812,12.033147,1,90,6,3455,1606,651,1784,20,26,0
Preventive Medicine,2014,7524,1283,13.224348,1,90,7,3061,1649,653,2118,19,24,0
Preventive Medicine,2015,8100,1478,14.061234,1,120,7,3254,1533,665,2611,17,17,3
Preventive Medicine,2016,8262,1833,15.69753,1,120,10,2938,1470,639,3164,18,32,1
Preventive Medicine,2017,7314,1530,17.555509,1,90,15,2161,1200,596,3311,4,42,0
Preventive Medicine,2018,7066,1111,16.401217,1,90,12,1647,1803,837,2742,2,35,0
Preventive Medicine,2019,15186,1398,11.993941,1,90,7,2468,7027,2936,2724,9,22,0
Preventive Medicine,2020,15523,857,12.297365,1,90,7,1734,7336,3587,2853,6,7,0
Preventive Medicine,2021,10590,640,15.422474,1,90,14,899,3656,2764,3257,4,10,0
Preventive Medicine,2022,7967,718,17.436425,1,90,14,677,2218,1868,3183,8,13,0
Preventive Medicine,2023,6147,475,17.351228,1,180,14,517,1796,1390,2430,3,10,1
Psychiatry & Neurology,2005,36454,28102,20.319416,0,999,20,7197,5967,5210,17029,511,489,51
Psychiatry & Neurology,2006,56798,40279,19.033205,0,999,16,11774,10513,8443,24758,674,604,32
Psychiatry & Neurology,2007,68250,49529,19.345142,0,999,20,13884,11905,10076,30793,780,765,47
Psychiatry & Neurology,2008,81661,58420,19.763289,0,999,20,17123,13400,11504,37799,814,878,143
Psychiatry & Neurology,2009,96792,61651,19.692236,0,999,20,21858,14743,12785,45460,879,929,138
Psychiatry & Neurology,2010,105296,73963,20.70221,0,999,27,21184,14313,12956,54711,915,1106,111
Psychiatry & Neurology,2011,97088,97684,21.263719,0,667,30,16611,12489,12343,53706,838,1082,19
Psychiatry & Neurology,2012,106268,96188,20.757038,0,184,30,19873,13300,13416,57808,792,1077,1
Psychiatry & Neurology,2013,101489,91870,20.7139,0,152,28,19090,12587,12920,55034,749,1107,2
Psychiatry & Neurology,2014,89835,92721,20.36183,0,180,27,17705,11666,11357,47460,598,1045,4
Psychiatry & Neurology,2015,109495,64124,20.863646,0,180,28,18157,14805,14612,59974,631,1305,10
Psychiatry & Neurology,2016,115736,64335,20.578402,0,180,28,17864,17876,15251,63018,668,1049,10
Psychiatry & Neurology,2017,121441,72958,19.723075,1,250,24,18569,22560,16095,62725,639,845,8
Psychiatry & Neurology,2018,119222,67825,19.190124,0,360,21,15747,26799,16272,59216,542,641,5
Psychiatry & Neurology,2019,130510,70293,19.041307,1,180,21,13723,33380,17776,64664,494,471,2
Psychiatry & Neurology,2020,117430,81931,20.362241,1,93,28,8924,26185,16826,64651,470,373,1
Psychiatry & Neurology,2021,119532,100234,19.485861,1,252,22,7833,33518,15945,61474,458,302,2
Psychiatry & Neurology,2022,113853,93393,19.204684,1,180,20,6660,32519,17966,55943,457,305,3
Psychiatry & Neurology,2023,107364,80234,18.875814,1,120,15,6429,29154,21149,49970,444,213,5
Psychologist,2005,18,18,6.833333,4,7,7,1,17,0,0,0,0,0
Psychologist,2006,4,0,24,6,30,30,0,1,0,3,0,0,0
Psychologist,2007,3,0,4.333333,2,7,4,2,1,0,0,0,0,0
Psychologist,2008,9,6,16.222222,2,30,13,1,3,1,4,0,0,0
Psychologist,2009,25,9,18.08,3,30,15,4,4,8,9,0,0,0
Psychologist,2010,9,6,8.555555,2,30,5,5,3,0,1,0,0,0
Psychologist,2011,9,5,31.666666,1,90,30,4,0,0,3,0,2,0
Psychologist,2012,2,0,67.5,45,90,67.5,0,0,0,0,1,1,0
Psychologist,2013,2,0,16.5,3,30,16.5,1,0,0,1,0,0,0
Psychologist,2014,1,0,10,10,10,10,0,1,0,0,0,0,0
Psychologist,2015,1,0,1,1,1,1,1,0,0,0,0,0,0
Psychologist,2016,6,0,16,3,30,16.5,2,1,0,3,0,0,0
Psychologist,2017,128,13,16.835937,1,30,14.5,23,26,28,51,0,0,0
Psychologist,2018,122,17,19.188524,1,30,23.5,16,19,17,70,0,0,0
Psychologist,2019,182,17,20.236263,1,33,26,18,31,29,103,1,0,0
Psychologist,2020,128,0,23.421875,2,30,28,9,15,5,99,0,0,0
Psychologist,2021,169,0,23.130177,1,35,28,7,23,22,115,2,0,0
Psychologist,2022,261,19,23.954022,1,30,28,12,29,29,191,0,0,0
Psychologist,2023,1834,1293,7.799345,1,200,6,840,649,127,215,1,0,2
Radiologic Technologist,2005,4,2,11.25,2,19,12,2,0,2,0,0,0,0
Radiologic Technologist,2006,16,0,7.75,3,30,5,9,5,1,1,0,0,0
Radiologic Technologist,2007,10,0,5,1,9,5,7,3,0,0,0,0,0
Radiologic Technologist,2008,43,1,5.906976,1,15,5,24,16,3,0,0,0,0
Radiologic Technologist,2009,30,3,29.733333,2,667,5,21,6,1,0,0,1,1
Radiologic Technologist,2010,18,0,5,1,15,3.5,13,4,1,0,0,0,0
Radiologic Technologist,2011,7,0,10.571428,3,30,10,3,2,1,1,0,0,0
Radiologic Technologist,2012,4,0,4.5,3,6,4.5,3,1,0,0,0,0,0
Radiologic Technologist,2015,1,0,3,3,3,3,1,0,0,0,0,0,0
Radiologic Technologist,2016,5,0,2.8,2,4,3,5,0,0,0,0,0,0
Radiologic Technologist,2017,11,0,12.818181,2,30,3,7,0,0,4,0,0,0
Radiologic Technologist,2018,7,0,13.857142,2,30,10,2,2,2,1,0,0,0
Radiologic Technologist,2019,6,0,26.666666,20,30,30,0,0,2,4,0,0,0
Radiologic Technologist,2020,122,5,24.163934,2,30,30,6,17,6,93,0,0,0
Radiologic Technologist,2021,223,6,25.098654,1,90,30,4,37,8,173,0,1,0
Radiologic Technologist,2022,162,2,25.351851,4,90,30,2,22,14,123,0,1,0
Radiologic Technologist,2023,40,1,25.925,5,30,30,1,6,0,33,0,0,0
Radiology,2005,6464,3120,13.322246,0,999,8,2065,1986,1386,929,54,24,20
Radiology,2006,9289,3621,13.549251,0,999,8,2959,2797,1905,1500,71,30,27
Radiology,2007,9566,5028,13.632552,0,999,8,2931,2879,2036,1584,84,28,24
Radiology,2008,10774,5737,12.864117,0,667,9,3058,3340,2258,1991,94,23,8
Radiology,2009,10880,5633,13.360753,0,667,10,3119,3121,2283,2262,65,17,13
Radiology,2010,11621,6327,14.007486,1,667,10,3092,3282,2366,2770,68,35,8
Radiology,2011,9980,6125,14.314328,1,375,10,2727,2512,2028,2615,75,22,1
Radiology,2012,10028,6383,14.045173,1,92,10,2992,2378,1906,2670,73,8,1
Radiology,2013,10036,6070,14.31646,0,92,10,2899,2487,1741,2815,78,15,1
Radiology,2014,9417,3104,14.609748,0,180,10,2616,2194,1858,2670,70,7,2
Radiology,2015,9357,1280,13.821951,0,100,10,2454,2310,2409,2085,89,7,3
Radiology,2016,10903,1447,12.359442,1,95,9,2883,3378,2747,1831,57,4,3
Radiology,2017,10322,1339,12.963669,1,94,10,2559,3259,2459,1964,72,5,4
Radiology,2018,9460,1190,12.592811,0,150,10,2329,3123,2225,1730,47,4,2
Radiology,2019,8658,701,12.057403,1,125,8,2258,2972,1971,1408,34,14,1
Radiology,2020,7856,1159,12.527494,1,120,10,1768,2770,1892,1395,24,6,1
Radiology,2021,6561,613,12.608901,1,90,9,1527,2385,1359,1266,19,5,0
Radiology,2022,6371,693,11.780725,1,90,8,1644,2323,1406,965,26,7,0
Radiology,2023,6279,427,10.945373,1,300,8,1798,2222,1506,735,13,3,2
Registered Nurse,2005,2737,1121,19.428936,0,667,15,412,612,605,1030,37,31,10
Registered Nurse,2006,5450,2110,19.335963,0,333,16,1021,953,986,2394,37,45,14
Registered Nurse,2007,6832,3289,19.344115,0,975,20,1296,1104,1143,3189,49,50,1
Registered Nurse,2008,8246,4560,19.732718,1,667,20,1468,1412,1294,3952,59,56,5
Registered Nurse,2009,9507,4304,20.89839,1,90,30,1597,1249,1241,5293,68,59,0
Registered Nurse,2010,14297,6281,23.854165,0,667,30,1585,1465,1372,9643,113,116,3
Registered Nurse,2011,15643,10806,23.745061,0,180,30,1802,1538,1530,10584,55,132,2
Registered Nurse,2012,19194,13722,23.78363,1,100,30,2073,1747,2175,13000,51,146,2
Registered Nurse,2013,17526,11242,23.920803,1,120,30,1552,1576,2326,11900,50,121,1
Registered Nurse,2014,16167,6788,22.563493,1,100,30,1792,1890,2109,10262,54,59,1
Registered Nurse,2015,21410,4365,23.457076,0,90,30,2138,2111,2444,14566,85,66,0
Registered Nurse,2016,22171,5508,23.70069,1,240,30,2251,2285,2065,15438,75,56,1
Registered Nurse,2017,23218,6991,22.102894,1,90,30,2872,3331,2186,14706,70,53,0
Registered Nurse,2018,23173,5234,20.661934,1,120,30,3191,4273,2166,13474,40,28,1
Registered Nurse,2019,27296,5753,20.517291,1,109,30,3330,5624,2515,15754,54,18,1
Registered Nurse,2020,29686,12228,17.774742,1,90,14,2697,10118,3594,13207,40,30,0
Registered Nurse,2021,33921,21618,14.681849,1,90,8,3330,15379,4584,10557,51,20,0
Registered Nurse,2022,33255,19296,15.097098,1,287,10,3406,13479,5469,10855,27,18,1
Registered Nurse,2023,26796,16617,17.896999,1,90,14,1966,8208,4803,11781,36,2,0
"Respiratory Therapist, Certified",2011,58,0,3.172413,2,20,2,52,5,1,0,0,0,0
"Respiratory Therapist, Certified",2012,177,0,3,0,30,2,155,19,0,3,0,0,0
"Respiratory Therapist, Certified",2013,10,0,9.8,0,30,7,2,6,0,2,0,0,0
"Respiratory Therapist, Certified",2014,6,6,13.333333,7,30,12,0,2,3,1,0,0,0
"Respiratory Therapist, Certified",2015,75,0,19.693333,1,30,22,12,12,13,38,0,0,0
"Respiratory Therapist, Certified",2016,277,185,18.512635,3,90,15,28,68,72,108,0,1,0
"Respiratory Therapist, Certified",2017,116,6,14.905172,2,30,12,11,42,41,22,0,0,0
"Respiratory Therapist, Certified",2018,582,260,10.919243,1,60,7,276,97,84,124,1,0,0
"Respiratory Therapist, Certified",2019,570,107,11.44035,1,60,8,228,127,97,117,1,0,0
"Respiratory Therapist, Certified",2021,1,1,15,15,15,15,0,0,1,0,0,0,0
"Sleep Specialist, PhD",2005,73,135,13.315068,2,30,15,11,19,38,5,0,0,0
"Sleep Specialist, PhD",2006,95,26,10.052631,2,120,7,36,30,23,5,0,0,1
"Sleep Specialist, PhD",2007,160,57,14.325,2,90,10,27,54,38,40,0,1,0
"Sleep Specialist, PhD",2008,190,29,10.88421,2,30,6,92,33,23,42,0,0,0
"Sleep Specialist, PhD",2009,151,31,12.39735,2,34,7,62,27,18,43,1,0,0
"Sleep Specialist, PhD",2010,39,13,17.948717,3,30,15,4,7,12,16,0,0,0
"Sleep Specialist, PhD",2011,39,30,19.333333,3,30,15,4,8,8,19,0,0,0
"Sleep Specialist, PhD",2012,36,31,17.333333,2,30,14,7,7,7,15,0,0,0
"Sleep Specialist, PhD",2013,69,79,16.521739,4,33,14,6,25,14,23,1,0,0
"Sleep Specialist, PhD",2014,39,33,20.128205,2,90,15,2,14,4,18,0,1,0
"Sleep Specialist, PhD",2015,71,52,20.366197,3,90,15,9,17,20,21,0,4,0
"Sleep Specialist, PhD",2016,230,68,12.452173,1,90,7,68,92,30,36,0,4,0
"Sleep Specialist, PhD",2017,195,44,10.897435,2,32,7,88,54,17,35,1,0,0
"Sleep Specialist, PhD",2018,211,13,8.336492,1,30,5,122,54,13,22,0,0,0
"Sleep Specialist, PhD",2019,199,9,6.577889,1,30,5,130,49,11,9,0,0,0
"Sleep Specialist, PhD",2020,54,6,7.759259,1,30,6.5,22,25,5,2,0,0,0
"Sleep Specialist, PhD",2021,11,6,10,6,16,8,0,7,4,0,0,0,0
"Sleep Specialist, PhD",2022,11,2,11.363636,3,30,8,2,4,3,2,0,0,0
"Sleep Specialist, PhD",2023,7,3,16,2,48,10,2,2,1,1,1,0,0
Specialist,2005,635,51,4.943307,1,667,3,576,25,17,16,0,0,1
Specialist,2006,924,57,4.298701,1,30,3,823,40,18,43,0,0,0
Specialist,2007,1165,56,4.202575,1,40,3,1016,87,18,42,2,0,0
Specialist,2008,1144,89,3.876748,1,30,2,1020,72,22,30,0,0,0
Specialist,2009,1013,75,3.952615,0,30,3,925,45,17,26,0,0,0
Specialist,2010,961,88,4.094693,1,30,3,856,69,15,21,0,0,0
Specialist,2011,909,112,3.811881,1,60,3,842,41,6,18,2,0,0
Specialist,2012,929,81,3.775026,1,30,3,854,45,14,16,0,0,0
Specialist,2013,1065,70,4.748356,1,30,3,888,101,56,20,0,0,0
Specialist,2014,1144,29,4.937062,1,30,4,902,189,33,20,0,0,0
Specialist,2015,1277,0,5.605324,1,31,5,836,388,43,9,1,0,0
Specialist,2016,1397,2,6.274874,1,51,5,862,419,89,24,3,0,0
Specialist,2017,1164,50,7.741408,1,33,5,606,368,116,71,3,0,0
Specialist,2018,6103,80,6.646403,1,60,7,2407,2907,731,56,2,0,0
Specialist,2019,4427,44,8.189292,1,35,7,1218,2190,850,168,1,0,0
Specialist,2020,1764,126,8.669501,1,30,7,362,916,435,51,0,0,0
Specialist,2021,724,30,9.248618,1,30,7,263,233,171,57,0,0,0
Specialist,2022,347,28,8.910662,2,30,7,167,66,93,21,0,0,0
Specialist,2023,330,4,8.824242,2,31,5,186,37,91,15,1,0,0
"Specialist/Technologist, Health Information",2005,94,33,10.93617,2,90,7,32,38,8,15,0,1,0
"Specialist/Technologist, Health Information",2006,351,168,13.817663,1,90,8,113,110,64,49,6,9,0
"Specialist/Technologist, Health Information",2007,460,141,15.086956,1,90,10,95,170,84,98,4,9,0
"Specialist/Technologist, Health Information",2008,483,135,17.559006,2,90,12,81,154,90,137,8,13,0
"Specialist/Technologist, Health Information",2009,541,161,14.593345,1,90,10,151,151,88,141,5,5,0
"Specialist/Technologist, Health Information",2010,441,144,15.299319,2,90,10,99,140,75,120,2,5,0
"Specialist/Technologist, Health Information",2011,388,178,15.613402,1,60,10,78,136,45,121,8,0,0
"Specialist/Technologist, Health Information",2012,417,293,14.990407,1,90,10,102,136,45,133,0,1,0
"Specialist/Technologist, Health Information",2013,316,131,16.386075,2,90,10,73,98,29,112,2,2,0
"Specialist/Technologist, Health Information",2014,113,11,8.070796,1,30,6,50,50,7,6,0,0,0
"Specialist/Technologist, Health Information",2015,157,2,7.573248,1,30,5,88,45,14,10,0,0,0
"Specialist/Technologist, Health Information",2016,181,73,9.232044,1,30,8,59,68,47,7,0,0,0
"Specialist/Technologist, Health Information",2017,235,86,10.33617,1,30,10,74,55,98,8,0,0,0
"Specialist/Technologist, Health Information",2018,139,3,5.388489,1,30,5,97,36,4,2,0,0,0
"Specialist/Technologist, Health Information",2019,167,5,6.20958,1,30,5,93,59,13,2,0,0,0
"Specialist/Technologist, Health Information",2020,124,0,5.645161,1,30,5,75,42,6,1,0,0,0
"Specialist/Technologist, Health Information",2021,131,1,5.244274,1,29,5,87,41,1,2,0,0,0
"Specialist/Technologist, Health Information",2022,10,0,4.6,1,10,3.5,7,3,0,0,0,0,0
"Specialist/Technologist, Health Information",2023,6,0,4.833333,1,7,6,2,4,0,0,0,0,0
"Specialist/Technologist, Other",2005,9,0,20.333333,1,30,22,2,0,0,7,0,0,0
"Specialist/Technologist, Other",2006,144,122,18.229166,1,30,20,34,24,16,70,0,0,0
"Specialist/Technologist, Other",2007,270,390,19.014814,2,50,20,50,39,59,116,6,0,0
"Specialist/Technologist, Other",2008,309,546,18.475728,2,90,15,58,70,46,129,3,3,0
"Specialist/Technologist, Other",2009,330,720,19.845454,1,90,20,49,56,70,152,1,2,0
"Specialist/Technologist, Other",2010,708,897,26.874293,1,90,30,35,48,87,511,18,9,0
"Specialist/Technologist, Other",2011,1389,1374,28.914326,2,90,30,14,36,116,1189,13,21,0
"Specialist/Technologist, Other",2012,1611,1535,28.013035,1,90,30,22,41,159,1363,15,11,0
"Specialist/Technologist, Other",2013,1993,2004,27.450075,1,90,30,35,75,171,1696,10,6,0
"Specialist/Technologist, Other",2014,1895,1774,27.069129,1,90,30,81,81,132,1580,18,3,0
"Specialist/Technologist, Other",2015,1681,202,26.019631,2,90,30,146,87,95,1338,12,3,0
