county_fips,county_name,cdc_year,cdc_population,rate_range,rate_midpoint,acs_year,acs_total_pop,acs_female_pop,female_share
18129,"Posey County, Indiana",2015,25512,10.1-12,11.05,2023,25163,12527,0.4978341215276398
18131,"Pulaski County, Indiana",2015,12889,20.1-22,21.05,2023,12441,6259,0.5030946065428824
18133,"Putnam County, Indiana",2015,37585,10.1-12,11.05,2023,37091,17516,0.472243940578577
18135,"Randolph County, Indiana",2015,25172,14.1-16,15.05,2023,24425,12214,0.5000614124872057
18137,"Ripley County, Indiana",2015,28701,16.1-18,17.05,2023,29039,14505,0.49950067151072697
18139,"Rush County, Indiana",2015,16672,14.1-16,15.05,2023,16734,8399,0.501912274411378
18143,"Scott County, Indiana",2015,23744,>30,,2023,24468,12356,0.5049861042994932
18145,"Shelby County, Indiana",2015,44478,16.1-18,17.05,2023,45104,22710,0.503503015253636
18147,"Spencer County, Indiana",2015,20715,12.1-14,13.05,2023,19871,9713,0.4888027779175683
18141,"St. Joseph County, Indiana",2015,268441,12.1-14,13.05,2023,272574,139102,0.510327470705203
18149,"Starke County, Indiana",2015,22958,>30,,2023,23300,11553,0.4958369098712446
18151,"Steuben County, Indiana",2015,34372,8.1-10,9.05,2023,34648,16661,0.48086469637497115
18153,"Sullivan County, Indiana",2015,20928,22.1-24,23.05,2023,20766,9472,0.4561302128479245
18155,"Switzerland County, Indiana",2015,10524,22.1-24,23.05,2023,9914,4876,0.4918297357272544
18157,"Tippecanoe County, Indiana",2015,185826,14.1-16,15.05,2023,187399,91425,0.4878627954258027
18159,"Tipton County, Indiana",2015,15267,20.1-22,21.05,2023,15329,7607,0.49624893991780283
18161,"Union County, Indiana",2015,7182,24.1-26,25.05,2023,7028,3553,0.5055492316448492
18163,"Vanderburgh County, Indiana",2015,181877,22.1-24,23.05,2023,179908,92059,0.5117004246614937
18165,"Vermillion County, Indiana",2015,15692,16.1-18,17.05,2023,15452,7668,0.49624644059021483
18167,"Vigo County, Indiana",2015,107896,16.1-18,17.05,2023,106201,52585,0.4951459967420269
18169,"Wabash County, Indiana",2015,32138,20.1-22,21.05,2023,30901,15739,0.5093362674347108
18171,"Warren County, Indiana",2015,8269,14.1-16,15.05,2023,8469,4250,0.5018302042744126
18173,"Warrick County, Indiana",2015,61897,8.1-10,9.05,2023,64650,32886,0.508677494199536
18175,"Washington County, Indiana",2015,27827,16.1-18,17.05,2023,28167,14166,0.5029289594205986
18177,"Wayne County, Indiana",2015,67001,22.1-24,23.05,2023,66377,33981,0.5119393765912892
18179,"Wells County, Indiana",2015,27964,12.1-14,13.05,2023,28261,14265,0.5047592088036517
18181,"White County, Indiana",2015,24293,14.1-16,15.05,2023,24709,12249,0.49573030070014973
18183,"Whitley County, Indiana",2015,33406,10.1-12,11.05,2023,34388,17168,0.4992439222984762
18001,"Adams County, Indiana",2014,34756,10.1-12,11.05,2023,35995,17987,0.49970829281844703
18003,"Allen County, Indiana",2014,365701,10.1-12,11.05,2023,388791,197503,0.5079927261690729
18005,"Bartholomew County, Indiana",2014,80220,14.1-16,15.05,2023,82881,40949,0.4940698109337484
18007,"Benton County, Indiana",2014,8697,18.1-20,19.05,2023,8708,4244,0.4873679375287092
18009,"Blackford County, Indiana",2014,12401,24.1-26,25.05,2023,12007,6132,0.5107020904472391
18011,"Boone County, Indiana",2014,61805,10.1-12,11.05,2023,72827,36518,0.5014349073832507
18013,"Brown County, Indiana",2014,14932,16.1-18,17.05,2023,15543,7767,0.49971048060220036
18015,"Carroll County, Indiana",2014,19904,12.1-14,13.05,2023,20443,10045,0.4913662378320207
18017,"Cass County, Indiana",2014,38336,6.1-8,7.05,2023,37703,18870,0.5004906771344455
18019,"Clark County, Indiana",2014,114301,18.1-20,19.05,2023,122800,62470,0.50871335504886
18021,"Clay County, Indiana",2014,26483,12.1-14,13.05,2023,26431,13339,0.5046725436041013
18023,"Clinton County, Indiana",2014,32672,14.1-16,15.05,2023,32967,16506,0.5006825006825006
18025,"Crawford County, Indiana",2014,10627,20.1-22,21.05,2023,10494,5199,0.4954259576901086
18027,"Daviess County, Indiana",2014,32745,12.1-14,13.05,2023,33442,16762,0.501226003229472
