county_fips,year,county,rate_range,cdc_population,county_name_acs,total_pop_acs,female_pop_acs,female_share
18141,2013,"St. Joseph County, IN",10.1-12,266885,"St. Joseph County, Indiana",272574,139102,0.510327470705203
18149,2013,"Starke County, IN",>30,23188,"Starke County, Indiana",23300,11553,0.4958369098712446
18151,2013,"Steuben County, IN",6.1-8,34328,"Steuben County, Indiana",34648,16661,0.48086469637497115
18153,2013,"Sullivan County, IN",20.1-22,21174,"Sullivan County, Indiana",20766,9472,0.4561302128479245
18155,2013,"Switzerland County, IN",18.1-20,10523,"Switzerland County, Indiana",9914,4876,0.4918297357272544
18157,2013,"Tippecanoe County, IN",12.1-14,181290,"Tippecanoe County, Indiana",187399,91425,0.4878627954258027
18159,2013,"Tipton County, IN",18.1-20,15588,"Tipton County, Indiana",15329,7607,0.49624893991780283
18161,2013,"Union County, IN",20.1-22,7284,"Union County, Indiana",7028,3553,0.5055492316448492
18163,2013,"Vanderburgh County, IN",20.1-22,181521,"Vanderburgh County, Indiana",179908,92059,0.5117004246614937
18165,2013,"Vermillion County, IN",14.1-16,15858,"Vermillion County, Indiana",15452,7668,0.49624644059021483
18167,2013,"Vigo County, IN",14.1-16,108324,"Vigo County, Indiana",106201,52585,0.4951459967420269
18169,2013,"Wabash County, IN",18.1-20,32351,"Wabash County, Indiana",30901,15739,0.5093362674347108
18171,2013,"Warren County, IN",12.1-14,8377,"Warren County, Indiana",8469,4250,0.5018302042744126
18173,2013,"Warrick County, IN",6.1-8,61089,"Warrick County, Indiana",64650,32886,0.508677494199536
18175,2013,"Washington County, IN",14.1-16,27814,"Washington County, Indiana",28167,14166,0.5029289594205986
18177,2013,"Wayne County, IN",18.1-20,67839,"Wayne County, Indiana",66377,33981,0.5119393765912892
18179,2013,"Wells County, IN",10.1-12,27733,"Wells County, Indiana",28261,14265,0.5047592088036517
18181,2013,"White County, IN",12.1-14,24339,"White County, Indiana",24709,12249,0.49573030070014973
18183,2013,"Whitley County, IN",8.1-10,33242,"Whitley County, Indiana",34388,17168,0.4992439222984762
18001,2012,"Adams County, IN",8.1-10,34429,"Adams County, Indiana",35995,17987,0.49970829281844703
18003,2012,"Allen County, IN",10.1-12,360859,"Allen County, Indiana",388791,197503,0.5079927261690729
18005,2012,"Bartholomew County, IN",12.1-14,78924,"Bartholomew County, Indiana",82881,40949,0.4940698109337484
18007,2012,"Benton County, IN",14.1-16,8807,"Benton County, Indiana",8708,4244,0.4873679375287092
18009,2012,"Blackford County, IN",20.1-22,12541,"Blackford County, Indiana",12007,6132,0.5107020904472391
18011,2012,"Boone County, IN",8.1-10,59062,"Boone County, Indiana",72827,36518,0.5014349073832507
18013,2012,"Brown County, IN",14.1-16,15054,"Brown County, Indiana",15543,7767,0.49971048060220036
18015,2012,"Carroll County, IN",10.1-12,20122,"Carroll County, Indiana",20443,10045,0.4913662378320207
18017,2012,"Cass County, IN",6.1-8,38697,"Cass County, Indiana",37703,18870,0.5004906771344455
18019,2012,"Clark County, IN",16.1-18,111908,"Clark County, Indiana",122800,62470,0.50871335504886
18021,2012,"Clay County, IN",12.1-14,26827,"Clay County, Indiana",26431,13339,0.5046725436041013
18023,2012,"Clinton County, IN",12.1-14,32944,"Clinton County, Indiana",32967,16506,0.5006825006825006
18025,2012,"Crawford County, IN",18.1-20,10649,"Crawford County, Indiana",10494,5199,0.4954259576901086
18027,2012,"Daviess County, IN",10.1-12,32150,"Daviess County, Indiana",33442,16762,0.501226003229472
18033,2012,"De Kalb County, IN",10.1-12,42303,"DeKalb County, Indiana",43584,21831,0.5008948237885462
18029,2012,"Dearborn County, IN",14.1-16,49754,"Dearborn County, Indiana",50828,25461,0.5009246871802944
18031,2012,"Decatur County, IN",14.1-16,26058,"Decatur County, Indiana",26411,13198,0.4997160274128204
18035,2012,"Delaware County, IN",16.1-18,117364,"Delaware County, Indiana",112109,57908,0.5165330169745516
18037,2012,"Dubois County, IN",6.1-8,42098,"Dubois County, Indiana",43563,21639,0.4967288754218029
18039,2012,"Elkhart County, IN",8.1-10,199229,"Elkhart County, Indiana",206868,104237,0.5038817023415898
18041,2012,"Fayette County, IN",20.1-22,23957,"Fayette County, Indiana",23390,11831,0.505814450619923
18043,2012,"Floyd County, IN",12.1-14,75355,"Floyd County, Indiana",80512,41142,0.5110045707472178
18045,2012,"Fountain County, IN",10.1-12,17108,"Fountain County, Indiana",16546,8252,0.49873081107216244
18047,2012,"Franklin County, IN",16.1-18,22984,"Franklin County, Indiana",22929,11530,0.5028566444240917
18049,2012,"Fulton County, IN",10.1-12,20653,"Fulton County, Indiana",20411,10085,0.494096320611435
18051,2012,"Gibson County, IN",8.1-10,33577,"Gibson County, Indiana",32986,16243,0.4924210271024071
18053,2012,"Grant County, IN",18.1-20,69228,"Grant County, Indiana",66377,34476,0.5193967790047758
18055,2012,"Greene County, IN",14.1-16,33012,"Greene County, Indiana",30954,15227,0.49192349938618596
18057,2012,"Hamilton County, IN",6.1-8,289761,"Hamilton County, Indiana",357176,181604,0.5084440163952785
18059,2012,"Hancock County, IN",12.1-14,70669,"Hancock County, Indiana",82013,41090,0.5010181312718716
18061,2012,"Harrison County, IN",8.1-10,39068,"Harrison County, Indiana",39785,19766,0.496820409702149
18063,2012,"Hendricks County, IN",8.1-10,150707,"Hendricks County, Indiana",179379,89272,0.4976725257694602
18065,2012,"Henry County, IN",24.1-26,49262,"Henry County, Indiana",48896,23105,0.47253354057591623
18067,2012,"Howard County, IN",20.1-22,82900,"Howard County, Indiana",83610,43009,0.5144001913646693
18069,2012,"Huntington County, IN",12.1-14,36993,"Huntington County, Indiana",36757,18330,0.4986805234377125
18071,2012,"Jackson County, IN",14.1-16,43032,"Jackson County, Indiana",46319,22697,0.4900148966946609
18073,2012,"Jasper County, IN",10.1-12,33478,"Jasper County, Indiana",33198,16662,0.5018977046810049
18075,2012,"Jay County, IN",14.1-16,21363,"Jay County, Indiana",20281,10076,0.4968196834475618
18077,2012,"Jefferson County, IN",10.1-12,32518,"Jefferson County, Indiana",33074,17168,0.5190784301868537
18079,2012,"Jennings County, IN",14.1-16,28189,"Jennings County, Indiana",27584,13569,0.49191560324825984
18081,2012,"Johnson County, IN",10.1-12,143579,"Johnson County, Indiana",163983,82751,0.5046315776635383
18083,2012,"Knox County, IN",12.1-14,38046,"Knox County, Indiana",36108,17760,0.49185776005317383
18085,2012,"Kosciusko County, IN",8.1-10,77610,"Kosciusko County, Indiana",80357,40150,0.4996453327028137
18091,2012,"La Porte County, IN",10.1-12,111223,"LaPorte County, Indiana",112141,54005,0.48158122363809847
18087,2012,"Lagrange County, IN",4.1-6,37618,"LaGrange County, Indiana",40596,19959,0.49164942358853087
18089,2012,"Lake County, IN",6.1-8,493192,"Lake County, Indiana",498990,256128,0.5132928515601515
18093,2012,"Lawrence County, IN",12.1-14,46036,"Lawrence County, Indiana",45077,22823,0.5063114226767531
18095,2012,"Madison County, IN",24.1-26,130259,"Madison County, Indiana",130949,64907,0.4956662517468633
18097,2012,"Marion County, IN",14.1-16,918748,"Marion County, Indiana",971822,501089,0.5156180864396978
18099,2012,"Marshall County, IN",8.1-10,46992,"Marshall County, Indiana",46225,22835,0.4939967550027042
18101,2012,"Martin County, IN",10.1-12,10318,"Martin County, Indiana",9854,4782,0.48528516338542727
18103,2012,"Miami County, IN",8.1-10,36499,"Miami County, Indiana",35772,16377,0.4578161690707816
18105,2012,"Monroe County, IN",12.1-14,141324,"Monroe County, Indiana",139822,70119,0.5014876056700662
18107,2012,"Montgomery County, IN",14.1-16,38168,"Montgomery County, Indiana",38155,18725,0.4907613681037872
18109,2012,"Morgan County, IN",14.1-16,69195,"Morgan County, Indiana",72202,36221,0.5016620038226088
18111,2012,"Newton County, IN",10.1-12,14062,"Newton County, Indiana",13859,6782,0.4893570964716069
18113,2012,"Noble County, IN",8.1-10,47434,"Noble County, Indiana",47417,23457,0.49469599510724
18115,2012,"Ohio County, IN",18.1-20,6107,"Ohio County, Indiana",5993,3017,0.5034206574336726
18117,2012,"Orange County, IN",10.1-12,19692,"Orange County, Indiana",19746,9840,0.49832877544819204
18119,2012,"Owen County, IN",12.1-14,21363,"Owen County, Indiana",21434,10585,0.4938415601380983
18121,2012,"Parke County, IN",10.1-12,17097,"Parke County, Indiana",16346,8485,0.5190872384681268
18123,2012,"Perry County, IN",10.1-12,19419,"Perry County, Indiana",19218,8729,0.4542095951711937
18125,2012,"Pike County, IN",8.1-10,12779,"Pike County, Indiana",12187,6124,0.5025026667760729
18127,2012,"Porter County, IN",12.1-14,165765,"Porter County, Indiana",174150,87928,0.5048980763709446
18129,2012,"Posey County, IN",8.1-10,25620,"Posey County, Indiana",25163,12527,0.4978341215276398
18131,2012,"Pulaski County, IN",16.1-18,13063,"Pulaski County, Indiana",12441,6259,0.5030946065428824
18133,2012,"Putnam County, IN",8.1-10,37647,"Putnam County, Indiana",37091,17516,0.472243940578577
18135,2012,"Randolph County, IN",12.1-14,25850,"Randolph County, Indiana",24425,12214,0.5000614124872057
18137,2012,"Ripley County, IN",12.1-14,28569,"Ripley County, Indiana",29039,14505,0.49950067151072697
18139,2012,"Rush County, IN",12.1-14,17134,"Rush County, Indiana",16734,8399,0.501912274411378
18143,2012,"Scott County, IN",28.1-30,23765,"Scott County, Indiana",24468,12356,0.5049861042994932
18145,2012,"Shelby County, IN",12.1-14,44371,"Shelby County, Indiana",45104,22710,0.503503015253636
18147,2012,"Spencer County, IN",8.1-10,20863,"Spencer County, Indiana",19871,9713,0.4888027779175683
18141,2012,"St. Joseph County, IN",10.1-12,266524,"St. Joseph County, Indiana",272574,139102,0.510327470705203
18149,2012,"Starke County, IN",>30,23193,"Starke County, Indiana",23300,11553,0.4958369098712446
18151,2012,"Steuben County, IN",6.1-8,34164,"Steuben County, Indiana",34648,16661,0.48086469637497115
18153,2012,"Sullivan County, IN",18.1-20,21215,"Sullivan County, Indiana",20766,9472,0.4561302128479245
18155,2012,"Switzerland County, IN",16.1-18,10397,"Switzerland County, Indiana",9914,4876,0.4918297357272544
18157,2012,"Tippecanoe County, IN",12.1-14,178426,"Tippecanoe County, Indiana",187399,91425,0.4878627954258027
18159,2012,"Tipton County, IN",16.1-18,15728,"Tipton County, Indiana",15329,7607,0.49624893991780283
18161,2012,"Union County, IN",18.1-20,7334,"Union County, Indiana",7028,3553,0.5055492316448492
18163,2012,"Vanderburgh County, IN",18.1-20,180854,"Vanderburgh County, Indiana",179908,92059,0.5117004246614937
18165,2012,"Vermillion County, IN",12.1-14,15950,"Vermillion County, Indiana",15452,7668,0.49624644059021483
18167,2012,"Vigo County, IN",14.1-16,108594,"Vigo County, Indiana",106201,52585,0.4951459967420269
18169,2012,"Wabash County, IN",16.1-18,32435,"Wabash County, Indiana",30901,15739,0.5093362674347108
18171,2012,"Warren County, IN",10.1-12,8386,"Warren County, Indiana",8469,4250,0.5018302042744126
18173,2012,"Warrick County, IN",6.1-8,60481,"Warrick County, Indiana",64650,32886,0.508677494199536
18175,2012,"Washington County, IN",12.1-14,27928,"Washington County, Indiana",28167,14166,0.5029289594205986
18177,2012,"Wayne County, IN",18.1-20,68287,"Wayne County, Indiana",66377,33981,0.5119393765912892
18179,2012,"Wells County, IN",10.1-12,27705,"Wells County, Indiana",28261,14265,0.5047592088036517
18181,2012,"White County, IN",12.1-14,24395,"White County, Indiana",24709,12249,0.49573030070014973
18183,2012,"Whitley County, IN",8.1-10,33287,"Whitley County, Indiana",34388,17168,0.4992439222984762
18001,2011,"Adams County, IN",8.1-10,34374,"Adams County, Indiana",35995,17987,0.49970829281844703
18003,2011,"Allen County, IN",8.1-10,358782,"Allen County, Indiana",388791,197503,0.5079927261690729
18005,2011,"Bartholomew County, IN",12.1-14,77630,"Bartholomew County, Indiana",82881,40949,0.4940698109337484
18007,2011,"Benton County, IN",14.1-16,8856,"Benton County, Indiana",8708,4244,0.4873679375287092
18009,2011,"Blackford County, IN",18.1-20,12668,"Blackford County, Indiana",12007,6132,0.5107020904472391
18011,2011,"Boone County, IN",8.1-10,57884,"Boone County, Indiana",72827,36518,0.5014349073832507
18013,2011,"Brown County, IN",12.1-14,15064,"Brown County, Indiana",15543,7767,0.49971048060220036
18015,2011,"Carroll County, IN",8.1-10,20088,"Carroll County, Indiana",20443,10045,0.4913662378320207
18017,2011,"Cass County, IN",4.1-6,38879,"Cass County, Indiana",37703,18870,0.5004906771344455
18019,2011,"Clark County, IN",14.1-16,111553,"Clark County, Indiana",122800,62470,0.50871335504886
18021,2011,"Clay County, IN",10.1-12,26881,"Clay County, Indiana",26431,13339,0.5046725436041013
18023,2011,"Clinton County, IN",12.1-14,33035,"Clinton County, Indiana",32967,16506,0.5006825006825006
18025,2011,"Crawford County, IN",16.1-18,10608,"Crawford County, Indiana",10494,5199,0.4954259576901086
18027,2011,"Daviess County, IN",10.1-12,31951,"Daviess County, Indiana",33442,16762,0.501226003229472
18033,2011,"De Kalb County, IN",10.1-12,42457,"DeKalb County, Indiana",43584,21831,0.5008948237885462
18029,2011,"Dearborn County, IN",14.1-16,50009,"Dearborn County, Indiana",50828,25461,0.5009246871802944
18031,2011,"Decatur County, IN",12.1-14,25886,"Decatur County, Indiana",26411,13198,0.4997160274128204
18035,2011,"Delaware County, IN",16.1-18,117824,"Delaware County, Indiana",112109,57908,0.5165330169745516
18037,2011,"Dubois County, IN",6.1-8,42197,"Dubois County, Indiana",43563,21639,0.4967288754218029
18039,2011,"Elkhart County, IN",6.1-8,198509,"Elkhart County, Indiana",206868,104237,0.5038817023415898
18041,2011,"Fayette County, IN",18.1-20,24157,"Fayette County, Indiana",23390,11831,0.505814450619923
18043,2011,"Floyd County, IN",12.1-14,75037,"Floyd County, Indiana",80512,41142,0.5110045707472178
18045,2011,"Fountain County, IN",8.1-10,17139,"Fountain County, Indiana",16546,8252,0.49873081107216244
18047,2011,"Franklin County, IN",14.1-16,23000,"Franklin County, Indiana",22929,11530,0.5028566444240917
18049,2011,"Fulton County, IN",10.1-12,20750,"Fulton County, Indiana",20411,10085,0.494096320611435
18051,2011,"Gibson County, IN",8.1-10,33567,"Gibson County, Indiana",32986,16243,0.4924210271024071
18053,2011,"Grant County, IN",16.1-18,69609,"Grant County, Indiana",66377,34476,0.5193967790047758
18055,2011,"Greene County, IN",14.1-16,33090,"Greene County, Indiana",30954,15227,0.49192349938618596
18057,2011,"Hamilton County, IN",6.1-8,283340,"Hamilton County, Indiana",357176,181604,0.5084440163952785
18059,2011,"Hancock County, IN",12.1-14,70396,"Hancock County, Indiana",82013,41090,0.5010181312718716
18061,2011,"Harrison County, IN",8.1-10,39215,"Harrison County, Indiana",39785,19766,0.496820409702149
18063,2011,"Hendricks County, IN",6.1-8,148607,"Hendricks County, Indiana",179379,89272,0.4976725257694602
18065,2011,"Henry County, IN",22.1-24,49360,"Henry County, Indiana",48896,23105,0.47253354057591623
18067,2011,"Howard County, IN",20.1-22,82851,"Howard County, Indiana",83610,43009,0.5144001913646693
18069,2011,"Huntington County, IN",10.1-12,37187,"Huntington County, Indiana",36757,18330,0.4986805234377125
18071,2011,"Jackson County, IN",12.1-14,42935,"Jackson County, Indiana",46319,22697,0.4900148966946609
18073,2011,"Jasper County, IN",10.1-12,33415,"Jasper County, Indiana",33198,16662,0.5018977046810049
18075,2011,"Jay County, IN",12.1-14,21370,"Jay County, Indiana",20281,10076,0.4968196834475618
18077,2011,"Jefferson County, IN",10.1-12,32302,"Jefferson County, Indiana",33074,17168,0.5190784301868537
18079,2011,"Jennings County, IN",14.1-16,28204,"Jennings County, Indiana",27584,13569,0.49191560324825984
18081,2011,"Johnson County, IN",10.1-12,141766,"Johnson County, Indiana",163983,82751,0.5046315776635383
18083,2011,"Knox County, IN",10.1-12,38467,"Knox County, Indiana",36108,17760,0.49185776005317383
18085,2011,"Kosciusko County, IN",8.1-10,77363,"Kosciusko County, Indiana",80357,40150,0.4996453327028137
18091,2011,"La Porte County, IN",10.1-12,111223,"LaPorte County, Indiana",112141,54005,0.48158122363809847
18087,2011,"Lagrange County, IN",4.1-6,37480,"LaGrange County, Indiana",40596,19959,0.49164942358853087
18089,2011,"Lake County, IN",6.1-8,494788,"Lake County, Indiana",498990,256128,0.5132928515601515
18093,2011,"Lawrence County, IN",12.1-14,46079,"Lawrence County, Indiana",45077,22823,0.5063114226767531
18095,2011,"Madison County, IN",22.1-24,131018,"Madison County, Indiana",130949,64907,0.4956662517468633
18097,2011,"Marion County, IN",14.1-16,910861,"Marion County, Indiana",971822,501089,0.5156180864396978
18099,2011,"Marshall County, IN",8.1-10,46960,"Marshall County, Indiana",46225,22835,0.4939967550027042
18101,2011,"Martin County, IN",8.1-10,10332,"Martin County, Indiana",9854,4782,0.48528516338542727
18103,2011,"Miami County, IN",8.1-10,36587,"Miami County, Indiana",35772,16377,0.4578161690707816
18105,2011,"Monroe County, IN",12.1-14,140322,"Monroe County, Indiana",139822,70119,0.5014876056700662
18107,2011,"Montgomery County, IN",14.1-16,38321,"Montgomery County, Indiana",38155,18725,0.4907613681037872
18109,2011,"Morgan County, IN",14.1-16,69201,"Morgan County, Indiana",72202,36221,0.5016620038226088
18111,2011,"Newton County, IN",10.1-12,14115,"Newton County, Indiana",13859,6782,0.4893570964716069
18113,2011,"Noble County, IN",8.1-10,47466,"Noble County, Indiana",47417,23457,0.49469599510724
18115,2011,"Ohio County, IN",16.1-18,6086,"Ohio County, Indiana",5993,3017,0.5034206574336726
18117,2011,"Orange County, IN",8.1-10,19905,"Orange County, Indiana",19746,9840,0.49832877544819204
18119,2011,"Owen County, IN",10.1-12,21516,"Owen County, Indiana",21434,10585,0.4938415601380983
18121,2011,"Parke County, IN",10.1-12,17110,"Parke County, Indiana",16346,8485,0.5190872384681268
18123,2011,"Perry County, IN",8.1-10,19467,"Perry County, Indiana",19218,8729,0.4542095951711937
18125,2011,"Pike County, IN",8.1-10,12759,"Pike County, Indiana",12187,6124,0.5025026667760729
18127,2011,"Porter County, IN",12.1-14,165510,"Porter County, Indiana",174150,87928,0.5048980763709446
18129,2011,"Posey County, IN",8.1-10,25686,"Posey County, Indiana",25163,12527,0.4978341215276398
18131,2011,"Pulaski County, IN",14.1-16,13291,"Pulaski County, Indiana",12441,6259,0.5030946065428824
18133,2011,"Putnam County, IN",8.1-10,37850,"Putnam County, Indiana",37091,17516,0.472243940578577
18135,2011,"Randolph County, IN",10.1-12,26017,"Randolph County, Indiana",24425,12214,0.5000614124872057
18137,2011,"Ripley County, IN",12.1-14,28749,"Ripley County, Indiana",29039,14505,0.49950067151072697
18139,2011,"Rush County, IN",10.1-12,17316,"Rush County, Indiana",16734,8399,0.501912274411378
18143,2011,"Scott County, IN",26.1-28,23928,"Scott County, Indiana",24468,12356,0.5049861042994932
18145,2011,"Shelby County, IN",12.1-14,44368,"Shelby County, Indiana",45104,22710,0.503503015253636
18147,2011,"Spencer County, IN",8.1-10,21045,"Spencer County, Indiana",19871,9713,0.4888027779175683
18141,2011,"St. Joseph County, IN",10.1-12,266701,"St. Joseph County, Indiana",272574,139102,0.510327470705203
18149,2011,"Starke County, IN",28.1-30,23207,"Starke County, Indiana",23300,11553,0.4958369098712446
18151,2011,"Steuben County, IN",6.1-8,34064,"Steuben County, Indiana",34648,16661,0.48086469637497115
18153,2011,"Sullivan County, IN",18.1-20,21237,"Sullivan County, Indiana",20766,9472,0.4561302128479245
18155,2011,"Switzerland County, IN",16.1-18,10565,"Switzerland County, Indiana",9914,4876,0.4918297357272544
18157,2011,"Tippecanoe County, IN",10.1-12,175549,"Tippecanoe County, Indiana",187399,91425,0.4878627954258027
18159,2011,"Tipton County, IN",16.1-18,15851,"Tipton County, Indiana",15329,7607,0.49624893991780283
18161,2011,"Union County, IN",16.1-18,7472,"Union County, Indiana",7028,3553,0.5055492316448492
18163,2011,"Vanderburgh County, IN",18.1-20,180357,"Vanderburgh County, Indiana",179908,92059,0.5117004246614937
18165,2011,"Vermillion County, IN",12.1-14,16107,"Vermillion County, Indiana",15452,7668,0.49624644059021483
18167,2011,"Vigo County, IN",12.1-14,108323,"Vigo County, Indiana",106201,52585,0.4951459967420269
18169,2011,"Wabash County, IN",14.1-16,32585,"Wabash County, Indiana",30901,15739,0.5093362674347108
18171,2011,"Warren County, IN",10.1-12,8474,"Warren County, Indiana",8469,4250,0.5018302042744126
18173,2011,"Warrick County, IN",6.1-8,60241,"Warrick County, Indiana",64650,32886,0.508677494199536
18175,2011,"Washington County, IN",12.1-14,28178,"Washington County, Indiana",28167,14166,0.5029289594205986
18177,2011,"Wayne County, IN",16.1-18,68754,"Wayne County, Indiana",66377,33981,0.5119393765912892
18179,2011,"Wells County, IN",10.1-12,27751,"Wells County, Indiana",28261,14265,0.5047592088036517
18181,2011,"White County, IN",10.1-12,24506,"White County, Indiana",24709,12249,0.49573030070014973
18183,2011,"Whitley County, IN",8.1-10,33305,"Whitley County, Indiana",34388,17168,0.4992439222984762
18001,2010,"Adams County, IN",6.1-8,34455,"Adams County, Indiana",35995,17987,0.49970829281844703
18003,2010,"Allen County, IN",8.1-10,355890,"Allen County, Indiana",388791,197503,0.5079927261690729
18005,2010,"Bartholomew County, IN",10.1-12,76846,"Bartholomew County, Indiana",82881,40949,0.4940698109337484
18007,2010,"Benton County, IN",12.1-14,8856,"Benton County, Indiana",8708,4244,0.4873679375287092
18009,2010,"Blackford County, IN",16.1-18,12750,"Blackford County, Indiana",12007,6132,0.5107020904472391
18011,2010,"Boone County, IN",8.1-10,56845,"Boone County, Indiana",72827,36518,0.5014349073832507
18013,2010,"Brown County, IN",12.1-14,15200,"Brown County, Indiana",15543,7767,0.49971048060220036
18015,2010,"Carroll County, IN",8.1-10,20183,"Carroll County, Indiana",20443,10045,0.4913662378320207
18017,2010,"Cass County, IN",4.1-6,38974,"Cass County, Indiana",37703,18870,0.5004906771344455
18019,2010,"Clark County, IN",14.1-16,110557,"Clark County, Indiana",122800,62470,0.50871335504886
18021,2010,"Clay County, IN",10.1-12,26853,"Clay County, Indiana",26431,13339,0.5046725436041013
18023,2010,"Clinton County, IN",10.1-12,33203,"Clinton County, Indiana",32967,16506,0.5006825006825006
18025,2010,"Crawford County, IN",14.1-16,10716,"Crawford County, Indiana",10494,5199,0.4954259576901086
18027,2010,"Daviess County, IN",8.1-10,31744,"Daviess County, Indiana",33442,16762,0.501226003229472
18033,2010,"De Kalb County, IN",8.1-10,42293,"DeKalb County, Indiana",43584,21831,0.5008948237885462
18029,2010,"Dearborn County, IN",12.1-14,50099,"Dearborn County, Indiana",50828,25461,0.5009246871802944
18031,2010,"Decatur County, IN",12.1-14,25791,"Decatur County, Indiana",26411,13198,0.4997160274128204
18035,2010,"Delaware County, IN",14.1-16,117692,"Delaware County, Indiana",112109,57908,0.5165330169745516
18037,2010,"Dubois County, IN",6.1-8,41906,"Dubois County, Indiana",43563,21639,0.4967288754218029
18039,2010,"Elkhart County, IN",6.1-8,197471,"Elkhart County, Indiana",206868,104237,0.5038817023415898
18041,2010,"Fayette County, IN",18.1-20,24333,"Fayette County, Indiana",23390,11831,0.505814450619923
18043,2010,"Floyd County, IN",10.1-12,74708,"Floyd County, Indiana",80512,41142,0.5110045707472178
18045,2010,"Fountain County, IN",8.1-10,17271,"Fountain County, Indiana",16546,8252,0.49873081107216244
18047,2010,"Franklin County, IN",14.1-16,23062,"Franklin County, Indiana",22929,11530,0.5028566444240917
18049,2010,"Fulton County, IN",8.1-10,20818,"Fulton County, Indiana",20411,10085,0.494096320611435
18051,2010,"Gibson County, IN",8.1-10,33554,"Gibson County, Indiana",32986,16243,0.4924210271024071
18053,2010,"Grant County, IN",16.1-18,69935,"Grant County, Indiana",66377,34476,0.5193967790047758
18055,2010,"Greene County, IN",14.1-16,33166,"Greene County, Indiana",30954,15227,0.49192349938618596
18057,2010,"Hamilton County, IN",6.1-8,276501,"Hamilton County, Indiana",357176,181604,0.5084440163952785
18059,2010,"Hancock County, IN",10.1-12,70223,"Hancock County, Indiana",82013,41090,0.5010181312718716
18061,2010,"Harrison County, IN",8.1-10,39352,"Harrison County, Indiana",39785,19766,0.496820409702149
18063,2010,"Hendricks County, IN",6.1-8,145863,"Hendricks County, Indiana",179379,89272,0.4976725257694602
18065,2010,"Henry County, IN",20.1-22,49488,"Henry County, Indiana",48896,23105,0.47253354057591623
18067,2010,"Howard County, IN",18.1-20,82731,"Howard County, Indiana",83610,43009,0.5144001913646693
18069,2010,"Huntington County, IN",10.1-12,37116,"Huntington County, Indiana",36757,18330,0.4986805234377125
18071,2010,"Jackson County, IN",12.1-14,42578,"Jackson County, Indiana",46319,22697,0.4900148966946609
18073,2010,"Jasper County, IN",8.1-10,33514,"Jasper County, Indiana",33198,16662,0.5018977046810049
18075,2010,"Jay County, IN",12.1-14,21172,"Jay County, Indiana",20281,10076,0.4968196834475618
18077,2010,"Jefferson County, IN",10.1-12,32423,"Jefferson County, Indiana",33074,17168,0.5190784301868537
18079,2010,"Jennings County, IN",12.1-14,28475,"Jennings County, Indiana",27584,13569,0.49191560324825984
18081,2010,"Johnson County, IN",10.1-12,140281,"Johnson County, Indiana",163983,82751,0.5046315776635383
18083,2010,"Knox County, IN",10.1-12,38389,"Knox County, Indiana",36108,17760,0.49185776005317383
18085,2010,"Kosciusko County, IN",8.1-10,77340,"Kosciusko County, Indiana",80357,40150,0.4996453327028137
18091,2010,"La Porte County, IN",8.1-10,111454,"LaPorte County, Indiana",112141,54005,0.48158122363809847
18087,2010,"Lagrange County, IN",2.1-4,37156,"LaGrange County, Indiana",40596,19959,0.49164942358853087
18089,2010,"Lake County, IN",4.1-6,495987,"Lake County, Indiana",498990,256128,0.5132928515601515
18093,2010,"Lawrence County, IN",10.1-12,46124,"Lawrence County, Indiana",45077,22823,0.5063114226767531
18095,2010,"Madison County, IN",20.1-22,131637,"Madison County, Indiana",130949,64907,0.4956662517468633
18097,2010,"Marion County, IN",12.1-14,904668,"Marion County, Indiana",971822,501089,0.5156180864396978
18099,2010,"Marshall County, IN",6.1-8,47009,"Marshall County, Indiana",46225,22835,0.4939967550027042
18101,2010,"Martin County, IN",8.1-10,10368,"Martin County, Indiana",9854,4782,0.48528516338542727
18103,2010,"Miami County, IN",8.1-10,36797,"Miami County, Indiana",35772,16377,0.4578161690707816
18105,2010,"Monroe County, IN",12.1-14,138557,"Monroe County, Indiana",139822,70119,0.5014876056700662
18107,2010,"Montgomery County, IN",12.1-14,38087,"Montgomery County, Indiana",38155,18725,0.4907613681037872
18109,2010,"Morgan County, IN",12.1-14,69169,"Morgan County, Indiana",72202,36221,0.5016620038226088
18111,2010,"Newton County, IN",8.1-10,14240,"Newton County, Indiana",13859,6782,0.4893570964716069
18113,2010,"Noble County, IN",8.1-10,47476,"Noble County, Indiana",47417,23457,0.49469599510724
18115,2010,"Ohio County, IN",14.1-16,6110,"Ohio County, Indiana",5993,3017,0.5034206574336726
18117,2010,"Orange County, IN",8.1-10,19802,"Orange County, Indiana",19746,9840,0.49832877544819204
18119,2010,"Owen County, IN",10.1-12,21582,"Owen County, Indiana",21434,10585,0.4938415601380983
18121,2010,"Parke County, IN",8.1-10,17285,"Parke County, Indiana",16346,8485,0.5190872384681268
18123,2010,"Perry County, IN",8.1-10,19417,"Perry County, Indiana",19218,8729,0.4542095951711937
18125,2010,"Pike County, IN",6.1-8,12850,"Pike County, Indiana",12187,6124,0.5025026667760729
18127,2010,"Porter County, IN",10.1-12,164550,"Porter County, Indiana",174150,87928,0.5048980763709446
18129,2010,"Posey County, IN",8.1-10,25857,"Posey County, Indiana",25163,12527,0.4978341215276398
18131,2010,"Pulaski County, IN",14.1-16,13356,"Pulaski County, Indiana",12441,6259,0.5030946065428824
18133,2010,"Putnam County, IN",8.1-10,37908,"Putnam County, Indiana",37091,17516,0.472243940578577
