county_fips,year,county,rate_range,cdc_population,county_name_acs,total_pop_acs,female_pop_acs,female_share
18123,2015,"Perry County, IN",12.1-14,19347,"Perry County, Indiana",19218,8729,0.4542095951711937
18125,2015,"Pike County, IN",12.1-14,12594,"Pike County, Indiana",12187,6124,0.5025026667760729
18127,2015,"Porter County, IN",14.1-16,167688,"Porter County, Indiana",174150,87928,0.5048980763709446
18129,2015,"Posey County, IN",10.1-12,25512,"Posey County, Indiana",25163,12527,0.4978341215276398
18131,2015,"Pulaski County, IN",20.1-22,12889,"Pulaski County, Indiana",12441,6259,0.5030946065428824
18133,2015,"Putnam County, IN",10.1-12,37585,"Putnam County, Indiana",37091,17516,0.472243940578577
18135,2015,"Randolph County, IN",14.1-16,25172,"Randolph County, Indiana",24425,12214,0.5000614124872057
18137,2015,"Ripley County, IN",16.1-18,28701,"Ripley County, Indiana",29039,14505,0.49950067151072697
18139,2015,"Rush County, IN",14.1-16,16672,"Rush County, Indiana",16734,8399,0.501912274411378
18143,2015,"Scott County, IN",>30,23744,"Scott County, Indiana",24468,12356,0.5049861042994932
18145,2015,"Shelby County, IN",16.1-18,44478,"Shelby County, Indiana",45104,22710,0.503503015253636
18147,2015,"Spencer County, IN",12.1-14,20715,"Spencer County, Indiana",19871,9713,0.4888027779175683
18141,2015,"St. Joseph County, IN",12.1-14,268441,"St. Joseph County, Indiana",272574,139102,0.510327470705203
18149,2015,"Starke County, IN",>30,22958,"Starke County, Indiana",23300,11553,0.4958369098712446
18151,2015,"Steuben County, IN",8.1-10,34372,"Steuben County, Indiana",34648,16661,0.48086469637497115
18153,2015,"Sullivan County, IN",22.1-24,20928,"Sullivan County, Indiana",20766,9472,0.4561302128479245
18155,2015,"Switzerland County, IN",22.1-24,10524,"Switzerland County, Indiana",9914,4876,0.4918297357272544
18157,2015,"Tippecanoe County, IN",14.1-16,185826,"Tippecanoe County, Indiana",187399,91425,0.4878627954258027
18159,2015,"Tipton County, IN",20.1-22,15267,"Tipton County, Indiana",15329,7607,0.49624893991780283
18161,2015,"Union County, IN",24.1-26,7182,"Union County, Indiana",7028,3553,0.5055492316448492
18163,2015,"Vanderburgh County, IN",22.1-24,181877,"Vanderburgh County, Indiana",179908,92059,0.5117004246614937
18165,2015,"Vermillion County, IN",16.1-18,15692,"Vermillion County, Indiana",15452,7668,0.49624644059021483
18167,2015,"Vigo County, IN",16.1-18,107896,"Vigo County, Indiana",106201,52585,0.4951459967420269
18169,2015,"Wabash County, IN",20.1-22,32138,"Wabash County, Indiana",30901,15739,0.5093362674347108
18171,2015,"Warren County, IN",14.1-16,8269,"Warren County, Indiana",8469,4250,0.5018302042744126
18173,2015,"Warrick County, IN",8.1-10,61897,"Warrick County, Indiana",64650,32886,0.508677494199536
18175,2015,"Washington County, IN",16.1-18,27827,"Washington County, Indiana",28167,14166,0.5029289594205986
18177,2015,"Wayne County, IN",22.1-24,67001,"Wayne County, Indiana",66377,33981,0.5119393765912892
18179,2015,"Wells County, IN",12.1-14,27964,"Wells County, Indiana",28261,14265,0.5047592088036517
18181,2015,"White County, IN",14.1-16,24293,"White County, Indiana",24709,12249,0.49573030070014973
18183,2015,"Whitley County, IN",10.1-12,33406,"Whitley County, Indiana",34388,17168,0.4992439222984762
18001,2014,"Adams County, IN",10.1-12,34756,"Adams County, Indiana",35995,17987,0.49970829281844703
18003,2014,"Allen County, IN",10.1-12,365701,"Allen County, Indiana",388791,197503,0.5079927261690729
18005,2014,"Bartholomew County, IN",14.1-16,80220,"Bartholomew County, Indiana",82881,40949,0.4940698109337484
18007,2014,"Benton County, IN",18.1-20,8697,"Benton County, Indiana",8708,4244,0.4873679375287092
18009,2014,"Blackford County, IN",24.1-26,12401,"Blackford County, Indiana",12007,6132,0.5107020904472391
18011,2014,"Boone County, IN",10.1-12,61805,"Boone County, Indiana",72827,36518,0.5014349073832507
18013,2014,"Brown County, IN",16.1-18,14932,"Brown County, Indiana",15543,7767,0.49971048060220036
18015,2014,"Carroll County, IN",12.1-14,19904,"Carroll County, Indiana",20443,10045,0.4913662378320207
18017,2014,"Cass County, IN",6.1-8,38336,"Cass County, Indiana",37703,18870,0.5004906771344455
18019,2014,"Clark County, IN",18.1-20,114301,"Clark County, Indiana",122800,62470,0.50871335504886
18021,2014,"Clay County, IN",12.1-14,26483,"Clay County, Indiana",26431,13339,0.5046725436041013
18023,2014,"Clinton County, IN",14.1-16,32672,"Clinton County, Indiana",32967,16506,0.5006825006825006
18025,2014,"Crawford County, IN",20.1-22,10627,"Crawford County, Indiana",10494,5199,0.4954259576901086
18027,2014,"Daviess County, IN",12.1-14,32745,"Daviess County, Indiana",33442,16762,0.501226003229472
18033,2014,"De Kalb County, IN",12.1-14,42508,"DeKalb County, Indiana",43584,21831,0.5008948237885462
18029,2014,"Dearborn County, IN",16.1-18,49423,"Dearborn County, Indiana",50828,25461,0.5009246871802944
18031,2014,"Decatur County, IN",16.1-18,26511,"Decatur County, Indiana",26411,13198,0.4997160274128204
18035,2014,"Delaware County, IN",18.1-20,117201,"Delaware County, Indiana",112109,57908,0.5165330169745516
18037,2014,"Dubois County, IN",8.1-10,42364,"Dubois County, Indiana",43563,21639,0.4967288754218029
18039,2014,"Elkhart County, IN",8.1-10,201739,"Elkhart County, Indiana",206868,104237,0.5038817023415898
18041,2014,"Fayette County, IN",22.1-24,23466,"Fayette County, Indiana",23390,11831,0.505814450619923
18043,2014,"Floyd County, IN",14.1-16,76233,"Floyd County, Indiana",80512,41142,0.5110045707472178
18045,2014,"Fountain County, IN",10.1-12,16723,"Fountain County, Indiana",16546,8252,0.49873081107216244
18047,2014,"Franklin County, IN",18.1-20,22898,"Franklin County, Indiana",22929,11530,0.5028566444240917
18049,2014,"Fulton County, IN",12.1-14,20483,"Fulton County, Indiana",20411,10085,0.494096320611435
18051,2014,"Gibson County, IN",10.1-12,33845,"Gibson County, Indiana",32986,16243,0.4924210271024071
18053,2014,"Grant County, IN",20.1-22,68631,"Grant County, Indiana",66377,34476,0.5193967790047758
18055,2014,"Greene County, IN",18.1-20,32733,"Greene County, Indiana",30954,15227,0.49192349938618596
18057,2014,"Hamilton County, IN",6.1-8,303278,"Hamilton County, Indiana",357176,181604,0.5084440163952785
18059,2014,"Hancock County, IN",14.1-16,71963,"Hancock County, Indiana",82013,41090,0.5010181312718716
18061,2014,"Harrison County, IN",10.1-12,39238,"Harrison County, Indiana",39785,19766,0.496820409702149
18063,2014,"Hendricks County, IN",8.1-10,156083,"Hendricks County, Indiana",179379,89272,0.4976725257694602
18065,2014,"Henry County, IN",26.1-28,49072,"Henry County, Indiana",48896,23105,0.47253354057591623
18067,2014,"Howard County, IN",24.1-26,82693,"Howard County, Indiana",83610,43009,0.5144001913646693
