HOSPITAL_ID,PAYOR1,PATS,TC,TD,PAYER_TYPE,SUBSTANCE_CATEGORY,AVG_CHARGE,AVG_LOS
124,7,12,257038,31,,Alcohol Disorders; Opioid Overdose; Drug Overdose,21419.833333333332,2.5833333333333335
124,8,22,1093200,110,,Alcohol Disorders; Sedative Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,49690.90909090909,5.0
124,11,5,104927,12,,Alcohol Disorders; Opioid Overdose; Drug Overdose,20985.4,2.4
125,1,40,1310231,132,Government (Medicare),Alcohol Disorders; Opioid Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,32755.775,3.3
125,2,78,3455011,370,Government (Medicaid),Alcohol Disorders; Other Psychoactive Substances; Other Substance Related; Opioid Overdose; Drug Overdose,44295.01282051282,4.743589743589744
125,3,12,387845,36,Private (Commercial),Alcohol Disorders; Sedative Disorders; Opioid Overdose; Drug Overdose,32320.416666666668,3.0
125,4,19,556854,61,Self-Pay,Alcohol Disorders; Opioid Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,29308.105263157893,3.210526315789474
125,5,45,1800642,266,,Alcohol Disorders; Cannabis Disorders; Inhalant Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,40014.26666666667,5.911111111111111
125,6,3,207494,13,,Opioid Overdose; Drug Overdose,69164.66666666667,4.333333333333333
125,7,31,975850,109,,Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,31479.032258064515,3.5161290322580645
125,8,67,3338615,258,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Stimulant Disorders; Hallucinogen Disorders; Other Substance Related; Opioid Overdose; Other Drug Overdose; Drug Overdose,49830.07462686567,3.8507462686567164
125,10,7,314382,22,,Other Substance Related; Opioid Overdose; Drug Overdose,44911.71428571428,3.142857142857143
125,11,52,1569773,179,,Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,30187.94230769231,3.4423076923076925
129,1,1,18583,2,Government (Medicare),Alcohol Disorders,18583.0,2.0
129,2,7,281802,47,Government (Medicaid),Alcohol Disorders; Opioid Overdose,40257.42857142857,6.714285714285714
129,4,4,76751,9,Self-Pay,Alcohol Disorders,19187.75,2.25
133,1,9,220643,18,Government (Medicare),Alcohol Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose,24515.88888888889,2.0
133,2,16,726026,75,Government (Medicaid),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,45376.625,4.6875
133,3,3,84960,7,Private (Commercial),Alcohol Disorders; Drug Overdose,28320.0,2.3333333333333335
133,4,1,24367,2,Self-Pay,Drug Overdose,24367.0,2.0
