HOSPITAL_ID,SUBSTANCE_CATEGORY,PATS,TC,TD,PAYOR1,AVG_CHARGE,AVG_LOS
176,Alcohol Disorders,44,912130,124,1,20730.227272727272,2.8181818181818183
176,Drug Overdose,7,121719,15,1,17388.428571428572,2.142857142857143
176,Opioid Disorders,1,20092,1,2,20092.0,1.0
176,Opioid Overdose,1,18655,1,2,18655.0,1.0
176,Other Substance Related,4,78190,9,1,19547.5,2.25
419,Alcohol Disorders,1,44696,9,8,44696.0,9.0
441,Alcohol Disorders,43,444362,131,1,10334.0,3.046511627906977
441,Cannabis Disorders,6,99029,31,11,16504.833333333332,5.166666666666667
441,Drug Overdose,3,60637,13,4,20212.333333333332,4.333333333333333
441,Opioid Disorders,3,36318,9,11,12106.0,3.0
441,Other Psychoactive Substances,13,185328,55,1,14256.0,4.230769230769231
441,Stimulant Disorders,36,504439,155,1,14012.194444444445,4.305555555555555
456,Alcohol Disorders,75,950085,342,1,12667.8,4.56
456,Cannabis Disorders,1,2780,1,11,2780.0,1.0
456,Opioid Disorders,4,41700,15,1,10425.0,3.75
458,Alcohol Disorders,127,1193940,594,1,9401.102362204725,4.677165354330708
458,Cannabis Disorders,5,48240,24,1,9648.0,4.8
458,Cocaine Disorders,1,12060,6,4,12060.0,6.0
458,Opioid Disorders,5,40200,20,11,8040.0,4.0
458,Other Psychoactive Substances,2,20100,10,4,10050.0,5.0
458,Sedative Disorders,1,2010,1,6,2010.0,1.0
458,Stimulant Disorders,21,225120,112,1,10720.0,5.333333333333333
459,Alcohol Disorders,1,45498,9,2,45498.0,9.0
464,Opioid Overdose,1,133341,19,1,133341.0,19.0
476,Alcohol Disorders,120,1759290,389,1,14660.75,3.2416666666666667
476,Cannabis Disorders,1,14293,3,4,14293.0,3.0
476,Cocaine Disorders,2,32544,7,5,16272.0,3.5
476,Drug Overdose,5,103005,30,3,20601.0,6.0
476,Opioid Disorders,3,30475,6,4,10158.333333333334,2.0
476,Other Psychoactive Substances,3,40837,7,5,13612.333333333334,2.3333333333333335
476,Sedative Disorders,1,19448,5,5,19448.0,5.0
476,Stimulant Disorders,9,108458,29,1,12050.888888888889,3.2222222222222223
490,Alcohol Disorders,1,46386,13,4,46386.0,13.0
490,Drug Overdose,1,2528,1,8,2528.0,1.0
497,Alcohol Disorders,1,37918,9,2,37918.0,9.0
497,Other Substance Related,1,52855,12,2,52855.0,12.0
497,Sedative Disorders,1,59143,15,1,59143.0,15.0
710,Alcohol Disorders,2,53543,4,1,26771.5,2.0
710,Opioid Overdose,2,86279,14,2,43139.5,7.0
756,Alcohol Disorders,166,3799054,648,1,22885.86746987952,3.9036144578313254
756,Cannabis Disorders,4,80205,17,11,20051.25,4.25
756,Drug Overdose,48,1387535,186,1,28906.979166666668,3.875
756,Opioid Disorders,5,71994,14,1,14398.8,2.8
756,Opioid Overdose,19,823843,91,1,43360.15789473684,4.7894736842105265
756,Other Psychoactive Substances,7,120356,29,11,17193.714285714286,4.142857142857143
756,Other Substance Related,46,2317063,217,1,50370.934782608696,4.717391304347826
756,Sedative Disorders,5,73479,10,4,14695.8,2.0
756,Stimulant Disorders,21,413745,92,11,19702.14285714286,4.380952380952381
