PAYER_TYPE,PATS,TC,TD,AVG_CHARGE,AVG_LOS
Government (Medicaid),1898,85867673,9100,45241.13435194942,4.794520547945205
Government (Medicare),1755,68431357,7840,38992.22621082621,4.467236467236467
Private (Commercial),1432,51945045,5878,36274.47276536313,4.104748603351955
Self-Pay,1261,39540364,4925,31356.355273592388,3.9056304520222045
