"fips","year","state","st","fips_state","county","population","estimated_age_adjusted_death_rate_11_categories_in_ranges"
"18039","2014","Indiana","IN","18","Elkhart County, IN","201739","8.1-10"
"18021","2009","Indiana","IN","18","Clay County, IN","26901","8.1-10"
"18125","2014","Indiana","IN","18","Pike County, IN","12641","10.1-12"
"18041","2001","Indiana","IN","18","Fayette County, IN","25263","10.1-12"
"18183","2015","Indiana","IN","18","Whitley County, IN","33406","10.1-12"
"18153","2010","Indiana","IN","18","Sullivan County, IN","21411","16.1-18"
"18057","2010","Indiana","IN","18","Hamilton County, IN","276501","6.1-8"
"18127","2010","Indiana","IN","18","Porter County, IN","164550","10.1-12"
"18135","2014","Indiana","IN","18","Randolph County, IN","25341","14.1-16"
"18025","2010","Indiana","IN","18","Crawford County, IN","10716","14.1-16"
"18149","2006","Indiana","IN","18","Starke County, IN","23362","20.1-22"
"18095","2009","Indiana","IN","18","Madison County, IN","131599","20.1-22"
"18165","2010","Indiana","IN","18","Vermillion County, IN","16140","10.1-12"
"18045","2005","Indiana","IN","18","Fountain County, IN","17436","4.1-6"
"18041","2008","Indiana","IN","18","Fayette County, IN","24384","16.1-18"
"18145","2015","Indiana","IN","18","Shelby County, IN","44478","16.1-18"
"18121","2013","Indiana","IN","18","Parke County, IN","17199","12.1-14"
"18081","2013","Indiana","IN","18","Johnson County, IN","145759","12.1-14"
"18125","2013","Indiana","IN","18","Pike County, IN","12660","10.1-12"
"18045","2013","Indiana","IN","18","Fountain County, IN","16878","10.1-12"
"18083","2015","Indiana","IN","18","Knox County, IN","37927","14.1-16"
"18109","2010","Indiana","IN","18","Morgan County, IN","69169","12.1-14"
"18009","2014","Indiana","IN","18","Blackford County, IN","12401","24.1-26"
"18117","2008","Indiana","IN","18","Orange County, IN","19837","6.1-8"
"18107","2013","Indiana","IN","18","Montgomery County, IN","38086","16.1-18"
"18111","2013","Indiana","IN","18","Newton County, IN","14029","12.1-14"
"18051","2011","Indiana","IN","18","Gibson County, IN","33567","8.1-10"
"18099","2015","Indiana","IN","18","Marshall County, IN","46857","10.1-12"
"18121","2012","Indiana","IN","18","Parke County, IN","17097","10.1-12"
"18033","2011","Indiana","IN","18","De Kalb County, IN","42457","10.1-12"
"18089","2012","Indiana","IN","18","Lake County, IN","493192","6.1-8"
"18003","2010","Indiana","IN","18","Allen County, IN","355890","8.1-10"
"18137","2015","Indiana","IN","18","Ripley County, IN","28701","16.1-18"
"18101","2014","Indiana","IN","18","Martin County, IN","10209","12.1-14"
"18059","2015","Indiana","IN","18","Hancock County, IN","72520","16.1-18"
"18053","2011","Indiana","IN","18","Grant County, IN","69609","16.1-18"
"18181","2014","Indiana","IN","18","White County, IN","24408","12.1-14"
"18111","2008","Indiana","IN","18","Newton County, IN","14348","8.1-10"
"18001","2015","Indiana","IN","18","Adams County, IN","34980","10.1-12"
"18015","2014","Indiana","IN","18","Carroll County, IN","19904","12.1-14"
"18005","2003","Indiana","IN","18","Bartholomew County, IN","72299","6.1-8"
"18069","2015","Indiana","IN","18","Huntington County, IN","36630","14.1-16"
"18091","2011","Indiana","IN","18","La Porte County, IN","111223","10.1-12"
"18059","2001","Indiana","IN","18","Hancock County, IN","56729","6.1-8"
"18137","2005","Indiana","IN","18","Ripley County, IN","28040","8.1-10"
"18057","2012","Indiana","IN","18","Hamilton County, IN","289761","6.1-8"
"18091","2012","Indiana","IN","18","La Porte County, IN","111223","10.1-12"
"18135","2012","Indiana","IN","18","Randolph County, IN","25850","12.1-14"
"18009","2012","Indiana","IN","18","Blackford County, IN","12541","20.1-22"
"18123","2013","Indiana","IN","18","Perry County, IN","19449","10.1-12"
"18139","2009","Indiana","IN","18","Rush County, IN","17461","8.1-10"
"18119","2010","Indiana","IN","18","Owen County, IN","21582","10.1-12"
"18147","2011","Indiana","IN","18","Spencer County, IN","21045","8.1-10"
"18125","2012","Indiana","IN","18","Pike County, IN","12779","8.1-10"
"18069","2012","Indiana","IN","18","Huntington County, IN","36993","12.1-14"
"18149","2011","Indiana","IN","18","Starke County, IN","23207","28.1-30"
"18027","2015","Indiana","IN","18","Daviess County, IN","32906","12.1-14"
"18171","2015","Indiana","IN","18","Warren County, IN","8269","14.1-16"
"18167","2015","Indiana","IN","18","Vigo County, IN","107896","16.1-18"
"18067","1999","Indiana","IN","18","Howard County, IN","84772","10.1-12"
"18143","2015","Indiana","IN","18","Scott County, IN","23744",">30"
"18013","2007","Indiana","IN","18","Brown County, IN","15274","10.1-12"
"18177","2002","Indiana","IN","18","Wayne County, IN","70545","10.1-12"
"18157","2011","Indiana","IN","18","Tippecanoe County, IN","175549","10.1-12"
"18079","1999","Indiana","IN","18","Jennings County, IN","27196","6.1-8"
"18013","2014","Indiana","IN","18","Brown County, IN","14932","16.1-18"
"18027","2011","Indiana","IN","18","Daviess County, IN","31951","10.1-12"
"18175","2012","Indiana","IN","18","Washington County, IN","27928","12.1-14"
"18017","2012","Indiana","IN","18","Cass County, IN","38697","6.1-8"
"18087","2013","Indiana","IN","18","Lagrange County, IN","38049","4.1-6"
"18021","2011","Indiana","IN","18","Clay County, IN","26881","10.1-12"
"18073","2012","Indiana","IN","18","Jasper County, IN","33478","10.1-12"
"18149","2004","Indiana","IN","18","Starke County, IN","23310","18.1-20"
"18045","2011","Indiana","IN","18","Fountain County, IN","17139","8.1-10"
"18093","2013","Indiana","IN","18","Lawrence County, IN","45845","14.1-16"
"18083","2011","Indiana","IN","18","Knox County, IN","38467","10.1-12"
"18067","2010","Indiana","IN","18","Howard County, IN","82731","18.1-20"
"18053","2008","Indiana","IN","18","Grant County, IN","70250","14.1-16"
"18015","2011","Indiana","IN","18","Carroll County, IN","20088","8.1-10"
"18157","2013","Indiana","IN","18","Tippecanoe County, IN","181290","12.1-14"
"18157","2015","Indiana","IN","18","Tippecanoe County, IN","185826","14.1-16"
"18031","2013","Indiana","IN","18","Decatur County, IN","26224","14.1-16"
"18149","2009","Indiana","IN","18","Starke County, IN","23343","24.1-26"
"18009","2013","Indiana","IN","18","Blackford County, IN","12473","22.1-24"
"18041","2010","Indiana","IN","18","Fayette County, IN","24333","18.1-20"
"18123","2014","Indiana","IN","18","Perry County, IN","19387","12.1-14"
"18061","1999","Indiana","IN","18","Harrison County, IN","33984","4.1-6"
"18171","1999","Indiana","IN","18","Warren County, IN","8346","0-2"
"18067","2007","Indiana","IN","18","Howard County, IN","83743","16.1-18"
"18169","1999","Indiana","IN","18","Wabash County, IN","34947","6.1-8"
"18175","2008","Indiana","IN","18","Washington County, IN","28298","10.1-12"
"18119","2011","Indiana","IN","18","Owen County, IN","21516","10.1-12"
"18161","2015","Indiana","IN","18","Union County, IN","7182","24.1-26"
"18047","2011","Indiana","IN","18","Franklin County, IN","23000","14.1-16"
"18173","2012","Indiana","IN","18","Warrick County, IN","60481","6.1-8"
"18147","2009","Indiana","IN","18","Spencer County, IN","20992","6.1-8"
"18055","2015","Indiana","IN","18","Greene County, IN","32441","18.1-20"
"18139","2011","Indiana","IN","18","Rush County, IN","17316","10.1-12"
"18027","2007","Indiana","IN","18","Daviess County, IN","30702","6.1-8"
"18149","2007","Indiana","IN","18","Starke County, IN","23260","22.1-24"
"18103","2006","Indiana","IN","18","Miami County, IN","37745","6.1-8"
"18183","2011","Indiana","IN","18","Whitley County, IN","33305","8.1-10"
"18065","2013","Indiana","IN","18","Henry County, IN","49051","24.1-26"
"18061","2015","Indiana","IN","18","Harrison County, IN","39578","10.1-12"
"18075","1999","Indiana","IN","18","Jay County, IN","21806","4.1-6"
"18141","2014","Indiana","IN","18","St. Joseph County, IN","267679","12.1-14"
"18129","2005","Indiana","IN","18","Posey County, IN","26488","4.1-6"
"18065","2015","Indiana","IN","18","Henry County, IN","48985","28.1-30"
"18019","2011","Indiana","IN","18","Clark County, IN","111553","14.1-16"
"18143","2008","Indiana","IN","18","Scott County, IN","24089","20.1-22"
"18065","2014","Indiana","IN","18","Henry County, IN","49072","26.1-28"
"18143","2012","Indiana","IN","18","Scott County, IN","23765","28.1-30"
"18149","2008","Indiana","IN","18","Starke County, IN","23379","22.1-24"
"18127","2011","Indiana","IN","18","Porter County, IN","165510","12.1-14"
"18045","2015","Indiana","IN","18","Fountain County, IN","16591","12.1-14"
"18163","2013","Indiana","IN","18","Vanderburgh County, IN","181521","20.1-22"
"18093","2007","Indiana","IN","18","Lawrence County, IN","46300","8.1-10"
"18169","2010","Indiana","IN","18","Wabash County, IN","32854","14.1-16"
"18003","2013","Indiana","IN","18","Allen County, IN","363473","10.1-12"
"18151","2015","Indiana","IN","18","Steuben County, IN","34372","8.1-10"
"18169","2013","Indiana","IN","18","Wabash County, IN","32351","18.1-20"
"18047","2013","Indiana","IN","18","Franklin County, IN","22920","16.1-18"
"18019","2015","Indiana","IN","18","Clark County, IN","115371","18.1-20"
"18095","2011","Indiana","IN","18","Madison County, IN","131018","22.1-24"
"18143","2010","Indiana","IN","18","Scott County, IN","24173","24.1-26"
"18017","2011","Indiana","IN","18","Cass County, IN","38879","4.1-6"
