"fips","year","state","st","fips_state","county","population","estimated_age_adjusted_death_rate_11_categories_in_ranges"
"18119","2015","Indiana","IN","18","Owen County, IN","20872","14.1-16"
"18177","2015","Indiana","IN","18","Wayne County, IN","67001","22.1-24"
"18145","2013","Indiana","IN","18","Shelby County, IN","44455","14.1-16"
"18073","2014","Indiana","IN","18","Jasper County, IN","33464","12.1-14"
"18103","2012","Indiana","IN","18","Miami County, IN","36499","8.1-10"
"18009","2002","Indiana","IN","18","Blackford County, IN","13696","8.1-10"
"18047","2014","Indiana","IN","18","Franklin County, IN","22898","18.1-20"
"18005","2012","Indiana","IN","18","Bartholomew County, IN","78924","12.1-14"
"18029","2013","Indiana","IN","18","Dearborn County, IN","49755","16.1-18"
"18079","2014","Indiana","IN","18","Jennings County, IN","27996","16.1-18"
"18053","2012","Indiana","IN","18","Grant County, IN","69228","18.1-20"
"18033","2013","Indiana","IN","18","De Kalb County, IN","42387","12.1-14"
"18089","2004","Indiana","IN","18","Lake County, IN","487405","4.1-6"
"18081","2015","Indiana","IN","18","Johnson County, IN","149633","14.1-16"
"18183","2014","Indiana","IN","18","Whitley County, IN","33412","10.1-12"
"18147","2014","Indiana","IN","18","Spencer County, IN","20831","10.1-12"
"18109","2013","Indiana","IN","18","Morgan County, IN","69381","16.1-18"
"18161","2014","Indiana","IN","18","Union County, IN","7225","22.1-24"
"18163","2012","Indiana","IN","18","Vanderburgh County, IN","180854","18.1-20"
"18077","2015","Indiana","IN","18","Jefferson County, IN","32416","12.1-14"
"18013","2004","Indiana","IN","18","Brown County, IN","15390","8.1-10"
"18087","2011","Indiana","IN","18","Lagrange County, IN","37480","4.1-6"
"18037","2013","Indiana","IN","18","Dubois County, IN","42335","8.1-10"
"18041","2012","Indiana","IN","18","Fayette County, IN","23957","20.1-22"
"18175","2014","Indiana","IN","18","Washington County, IN","27904","14.1-16"
"18113","2013","Indiana","IN","18","Noble County, IN","47501","8.1-10"
"18107","2015","Indiana","IN","18","Montgomery County, IN","38227","18.1-20"
"18159","2014","Indiana","IN","18","Tipton County, IN","15429","18.1-20"
"18153","2013","Indiana","IN","18","Sullivan County, IN","21174","20.1-22"
"18093","2010","Indiana","IN","18","Lawrence County, IN","46124","10.1-12"
"18133","2014","Indiana","IN","18","Putnam County, IN","37660","10.1-12"
"18055","2010","Indiana","IN","18","Greene County, IN","33166","14.1-16"
"18085","2014","Indiana","IN","18","Kosciusko County, IN","78445","10.1-12"
"18117","2013","Indiana","IN","18","Orange County, IN","19736","10.1-12"
"18127","2013","Indiana","IN","18","Porter County, IN","166578","14.1-16"
"18157","2012","Indiana","IN","18","Tippecanoe County, IN","178426","12.1-14"
"18151","2010","Indiana","IN","18","Steuben County, IN","34137","6.1-8"
"18019","2012","Indiana","IN","18","Clark County, IN","111908","16.1-18"
"18043","2015","Indiana","IN","18","Floyd County, IN","76778","16.1-18"
"18133","2011","Indiana","IN","18","Putnam County, IN","37850","8.1-10"
"18179","2015","Indiana","IN","18","Wells County, IN","27964","12.1-14"
"18033","2015","Indiana","IN","18","De Kalb County, IN","42589","12.1-14"
"18129","2011","Indiana","IN","18","Posey County, IN","25686","8.1-10"
"18029","2010","Indiana","IN","18","Dearborn County, IN","50099","12.1-14"
"18077","2002","Indiana","IN","18","Jefferson County, IN","31871","6.1-8"
"18163","2015","Indiana","IN","18","Vanderburgh County, IN","181877","22.1-24"
"18103","2015","Indiana","IN","18","Miami County, IN","35862","10.1-12"
"18103","2013","Indiana","IN","18","Miami County, IN","36124","10.1-12"
"18067","2013","Indiana","IN","18","Howard County, IN","82825","22.1-24"
"18059","2010","Indiana","IN","18","Hancock County, IN","70223","10.1-12"
"18145","2010","Indiana","IN","18","Shelby County, IN","44319","12.1-14"
"18053","2014","Indiana","IN","18","Grant County, IN","68631","20.1-22"
"18175","2011","Indiana","IN","18","Washington County, IN","28178","12.1-14"
"18093","2011","Indiana","IN","18","Lawrence County, IN","46079","12.1-14"
"18073","2013","Indiana","IN","18","Jasper County, IN","33412","10.1-12"
"18183","2013","Indiana","IN","18","Whitley County, IN","33242","8.1-10"
"18089","1999","Indiana","IN","18","Lake County, IN","484793","2.1-4"
"18055","2013","Indiana","IN","18","Greene County, IN","32798","16.1-18"
"18023","2014","Indiana","IN","18","Clinton County, IN","32672","14.1-16"
"18013","2011","Indiana","IN","18","Brown County, IN","15064","12.1-14"
"18157","2010","Indiana","IN","18","Tippecanoe County, IN","173048","10.1-12"
"18137","2011","Indiana","IN","18","Ripley County, IN","28749","12.1-14"
"18005","2013","Indiana","IN","18","Bartholomew County, IN","79505","14.1-16"
"18073","2015","Indiana","IN","18","Jasper County, IN","33470","12.1-14"
"18019","2007","Indiana","IN","18","Clark County, IN","105672","12.1-14"
"18133","2010","Indiana","IN","18","Putnam County, IN","37908","8.1-10"
"18105","2015","Indiana","IN","18","Monroe County, IN","144705","16.1-18"
"18007","2015","Indiana","IN","18","Benton County, IN","8681","18.1-20"
"18049","1999","Indiana","IN","18","Fulton County, IN","20448","4.1-6"
"18077","2011","Indiana","IN","18","Jefferson County, IN","32302","10.1-12"
"18077","2013","Indiana","IN","18","Jefferson County, IN","32501","12.1-14"
"18007","2014","Indiana","IN","18","Benton County, IN","8697","18.1-20"
"18133","2015","Indiana","IN","18","Putnam County, IN","37585","10.1-12"
"18053","2002","Indiana","IN","18","Grant County, IN","72425","10.1-12"
"18029","2008","Indiana","IN","18","Dearborn County, IN","49643","12.1-14"
"18077","2010","Indiana","IN","18","Jefferson County, IN","32423","10.1-12"
"18147","2010","Indiana","IN","18","Spencer County, IN","20880","8.1-10"
"18119","2014","Indiana","IN","18","Owen County, IN","21034","14.1-16"
"18055","2002","Indiana","IN","18","Greene County, IN","33052","8.1-10"
"18137","2008","Indiana","IN","18","Ripley County, IN","28605","10.1-12"
"18127","2015","Indiana","IN","18","Porter County, IN","167688","14.1-16"
"18141","2015","Indiana","IN","18","St. Joseph County, IN","268441","12.1-14"
"18143","2011","Indiana","IN","18","Scott County, IN","23928","26.1-28"
"18113","2015","Indiana","IN","18","Noble County, IN","47733","10.1-12"
"18071","2015","Indiana","IN","18","Jackson County, IN","44069","16.1-18"
"18041","2004","Indiana","IN","18","Fayette County, IN","24844","12.1-14"
"18035","2011","Indiana","IN","18","Delaware County, IN","117824","16.1-18"
"18147","2001","Indiana","IN","18","Spencer County, IN","20465","2.1-4"
"18095","2013","Indiana","IN","18","Madison County, IN","130401","24.1-26"
"18091","2010","Indiana","IN","18","La Porte County, IN","111454","8.1-10"
"18109","2011","Indiana","IN","18","Morgan County, IN","69201","14.1-16"
"18065","2009","Indiana","IN","18","Henry County, IN","49305","20.1-22"
"18177","2013","Indiana","IN","18","Wayne County, IN","67839","18.1-20"
"18177","2012","Indiana","IN","18","Wayne County, IN","68287","18.1-20"
"18097","2015","Indiana","IN","18","Marion County, IN","939020","18.1-20"
"18131","2011","Indiana","IN","18","Pulaski County, IN","13291","14.1-16"
"18041","2011","Indiana","IN","18","Fayette County, IN","24157","18.1-20"
"18027","2010","Indiana","IN","18","Daviess County, IN","31744","8.1-10"
"18085","2015","Indiana","IN","18","Kosciusko County, IN","78620","10.1-12"
"18105","2010","Indiana","IN","18","Monroe County, IN","138557","12.1-14"
"18179","2004","Indiana","IN","18","Wells County, IN","27826","6.1-8"
"18103","2014","Indiana","IN","18","Miami County, IN","35983","10.1-12"
"18035","2003","Indiana","IN","18","Delaware County, IN","119935","10.1-12"
"18015","2012","Indiana","IN","18","Carroll County, IN","20122","10.1-12"
"18031","2011","Indiana","IN","18","Decatur County, IN","25886","12.1-14"
"18071","2014","Indiana","IN","18","Jackson County, IN","43803","16.1-18"
"18105","2011","Indiana","IN","18","Monroe County, IN","140322","12.1-14"
"18037","2010","Indiana","IN","18","Dubois County, IN","41906","6.1-8"
"18131","2015","Indiana","IN","18","Pulaski County, IN","12889","20.1-22"
"18061","2013","Indiana","IN","18","Harrison County, IN","39051","8.1-10"
"18161","2010","Indiana","IN","18","Union County, IN","7532","14.1-16"
"18123","2010","Indiana","IN","18","Perry County, IN","19417","8.1-10"
"18029","2005","Indiana","IN","18","Dearborn County, IN","48421","10.1-12"
"18111","2014","Indiana","IN","18","Newton County, IN","14072","12.1-14"
"18113","2011","Indiana","IN","18","Noble County, IN","47466","8.1-10"
"18069","2010","Indiana","IN","18","Huntington County, IN","37116","10.1-12"
"18167","2011","Indiana","IN","18","Vigo County, IN","108323","12.1-14"
"18139","2015","Indiana","IN","18","Rush County, IN","16672","14.1-16"
"18139","2014","Indiana","IN","18","Rush County, IN","16834","14.1-16"
"18117","2010","Indiana","IN","18","Orange County, IN","19802","8.1-10"
"18063","2015","Indiana","IN","18","Hendricks County, IN","158192","10.1-12"
"18147","2015","Indiana","IN","18","Spencer County, IN","20715","12.1-14"
"18165","2008","Indiana","IN","18","Vermillion County, IN","16387","10.1-12"
"18065","2005","Indiana","IN","18","Henry County, IN","48064","14.1-16"
"18101","2010","Indiana","IN","18","Martin County, IN","10368","8.1-10"
"18097","2010","Indiana","IN","18","Marion County, IN","904668","12.1-14"
"18065","2011","Indiana","IN","18","Henry County, IN","49360","22.1-24"
"18081","2010","Indiana","IN","18","Johnson County, IN","140281","10.1-12"
"18077","2012","Indiana","IN","18","Jefferson County, IN","32518","10.1-12"
"18145","2011","Indiana","IN","18","Shelby County, IN","44368","12.1-14"
"18007","2012","Indiana","IN","18","Benton County, IN","8807","14.1-16"
"18003","2011","Indiana","IN","18","Allen County, IN","358782","8.1-10"
"18011","2015","Indiana","IN","18","Boone County, IN","63344","10.1-12"
"18105","2013","Indiana","IN","18","Monroe County, IN","142097","14.1-16"
"18043","2014","Indiana","IN","18","Floyd County, IN","76233","14.1-16"
"18147","2005","Indiana","IN","18","Spencer County, IN","20896","4.1-6"
"18005","2011","Indiana","IN","18","Bartholomew County, IN","77630","12.1-14"
"18179","2012","Indiana","IN","18","Wells County, IN","27705","10.1-12"
"18091","2015","Indiana","IN","18","La Porte County, IN","110884","12.1-14"
"18101","2012","Indiana","IN","18","Martin County, IN","10318","10.1-12"
"18045","2012","Indiana","IN","18","Fountain County, IN","17108","10.1-12"
"18053","2005","Indiana","IN","18","Grant County, IN","70803","12.1-14"
"18057","2011","Indiana","IN","18","Hamilton County, IN","283340","6.1-8"
"18063","2011","Indiana","IN","18","Hendricks County, IN","148607","6.1-8"
"18129","2012","Indiana","IN","18","Posey County, IN","25620","8.1-10"
"18165","2013","Indiana","IN","18","Vermillion County, IN","15858","14.1-16"
"18055","2011","Indiana","IN","18","Greene County, IN","33090","14.1-16"
"18027","2003","Indiana","IN","18","Daviess County, IN","30108","4.1-6"
"18053","2013","Indiana","IN","18","Grant County, IN","69031","18.1-20"
"18001","2010","Indiana","IN","18","Adams County, IN","34455","6.1-8"
"18023","2011","Indiana","IN","18","Clinton County, IN","33035","12.1-14"
"18049","2013","Indiana","IN","18","Fulton County, IN","20435","12.1-14"
"18075","2011","Indiana","IN","18","Jay County, IN","21370","12.1-14"
"18175","2015","Indiana","IN","18","Washington County, IN","27827","16.1-18"
"18135","2010","Indiana","IN","18","Randolph County, IN","26180","10.1-12"
"18075","2012","Indiana","IN","18","Jay County, IN","21363","14.1-16"
"18179","2010","Indiana","IN","18","Wells County, IN","27674","8.1-10"
"18115","2010","Indiana","IN","18","Ohio County, IN","6110","14.1-16"
"18083","2012","Indiana","IN","18","Knox County, IN","38046","12.1-14"
"18145","2007","Indiana","IN","18","Shelby County, IN","44086","8.1-10"
"18041","2006","Indiana","IN","18","Fayette County, IN","24508","14.1-16"
"18079","2006","Indiana","IN","18","Jennings County, IN","28320","10.1-12"
"18023","2015","Indiana","IN","18","Clinton County, IN","32609","16.1-18"
"18047","2010","Indiana","IN","18","Franklin County, IN","23062","14.1-16"
"18155","2011","Indiana","IN","18","Switzerland County, IN","10565","16.1-18"
"18051","2010","Indiana","IN","18","Gibson County, IN","33554","8.1-10"
"18165","2015","Indiana","IN","18","Vermillion County, IN","15692","16.1-18"
"18069","2014","Indiana","IN","18","Huntington County, IN","36686","12.1-14"
"18053","2015","Indiana","IN","18","Grant County, IN","67979","20.1-22"
"18009","2010","Indiana","IN","18","Blackford County, IN","12750","16.1-18"
"18033","2014","Indiana","IN","18","De Kalb County, IN","42508","12.1-14"
"18021","2014","Indiana","IN","18","Clay County, IN","26483","12.1-14"
"18055","2012","Indiana","IN","18","Greene County, IN","33012","14.1-16"
"18143","2013","Indiana","IN","18","Scott County, IN","23800","28.1-30"
"18117","2014","Indiana","IN","18","Orange County, IN","19686","10.1-12"
"18133","2012","Indiana","IN","18","Putnam County, IN","37647","8.1-10"
"18029","2012","Indiana","IN","18","Dearborn County, IN","49754","14.1-16"
"18173","2013","Indiana","IN","18","Warrick County, IN","61089","6.1-8"
"18111","2015","Indiana","IN","18","Newton County, IN","14008","14.1-16"
"18067","2009","Indiana","IN","18","Howard County, IN","82701","18.1-20"
"18063","2014","Indiana","IN","18","Hendricks County, IN","156083","8.1-10"
"18137","2010","Indiana","IN","18","Ripley County, IN","28835","10.1-12"
"18039","2000","Indiana","IN","18","Elkhart County, IN","183412","4.1-6"
"18171","2010","Indiana","IN","18","Warren County, IN","8501","8.1-10"
"18161","2012","Indiana","IN","18","Union County, IN","7334","18.1-20"
"18011","2005","Indiana","IN","18","Boone County, IN","51261","6.1-8"
"18097","2013","Indiana","IN","18","Marion County, IN","928515","16.1-18"
"18157","2014","Indiana","IN","18","Tippecanoe County, IN","183670","14.1-16"
"18019","2010","Indiana","IN","18","Clark County, IN","110557","14.1-16"
"18003","2015","Indiana","IN","18","Allen County, IN","368450","10.1-12"
"18017","2013","Indiana","IN","18","Cass County, IN","38491","6.1-8"
"18089","2010","Indiana","IN","18","Lake County, IN","495987","4.1-6"
"18123","2012","Indiana","IN","18","Perry County, IN","19419","10.1-12"
"18007","2010","Indiana","IN","18","Benton County, IN","8856","12.1-14"
"18163","2011","Indiana","IN","18","Vanderburgh County, IN","180357","18.1-20"
"18175","2005","Indiana","IN","18","Washington County, IN","27893","8.1-10"
"18153","2011","Indiana","IN","18","Sullivan County, IN","21237","18.1-20"
"18161","2013","Indiana","IN","18","Union County, IN","7284","20.1-22"
"18145","2012","Indiana","IN","18","Shelby County, IN","44371","12.1-14"
"18155","2014","Indiana","IN","18","Switzerland County, IN","10490","20.1-22"
"18005","2015","Indiana","IN","18","Bartholomew County, IN","81162","16.1-18"
"18043","2011","Indiana","IN","18","Floyd County, IN","75037","12.1-14"
"18181","2012","Indiana","IN","18","White County, IN","24395","12.1-14"
"18081","2011","Indiana","IN","18","Johnson County, IN","141766","10.1-12"
"18013","2012","Indiana","IN","18","Brown County, IN","15054","14.1-16"
"18063","2010","Indiana","IN","18","Hendricks County, IN","145863","6.1-8"
"18085","2012","Indiana","IN","18","Kosciusko County, IN","77610","8.1-10"
"18107","2014","Indiana","IN","18","Montgomery County, IN","38060","16.1-18"
"18079","2012","Indiana","IN","18","Jennings County, IN","28189","14.1-16"
"18009","2004","Indiana","IN","18","Blackford County, IN","13496","10.1-12"
"18181","2010","Indiana","IN","18","White County, IN","24684","10.1-12"
"18071","2010","Indiana","IN","18","Jackson County, IN","42578","12.1-14"
"18089","2014","Indiana","IN","18","Lake County, IN","490574","6.1-8"
"18001","2013","Indiana","IN","18","Adams County, IN","34671","8.1-10"
"18069","1999","Indiana","IN","18","Huntington County, IN","38025","4.1-6"
"18161","2009","Indiana","IN","18","Union County, IN","7466","14.1-16"
"18159","2013","Indiana","IN","18","Tipton County, IN","15588","18.1-20"
"18005","2014","Indiana","IN","18","Bartholomew County, IN","80220","14.1-16"
"18165","2012","Indiana","IN","18","Vermillion County, IN","15950","12.1-14"
"18051","2014","Indiana","IN","18","Gibson County, IN","33845","10.1-12"
"18039","2011","Indiana","IN","18","Elkhart County, IN","198509","6.1-8"
"18115","2012","Indiana","IN","18","Ohio County, IN","6107","18.1-20"
"18037","2014","Indiana","IN","18","Dubois County, IN","42364","8.1-10"
"18171","2013","Indiana","IN","18","Warren County, IN","8377","12.1-14"
"18075","2010","Indiana","IN","18","Jay County, IN","21172","12.1-14"
"18043","2013","Indiana","IN","18","Floyd County, IN","76098","14.1-16"
"18009","2011","Indiana","IN","18","Blackford County, IN","12668","18.1-20"
"18035","2010","Indiana","IN","18","Delaware County, IN","117692","14.1-16"
"18167","2014","Indiana","IN","18","Vigo County, IN","108201","14.1-16"
"18089","2011","Indiana","IN","18","Lake County, IN","494788","6.1-8"
"18025","2009","Indiana","IN","18","Crawford County, IN","10664","12.1-14"
"18109","2012","Indiana","IN","18","Morgan County, IN","69195","14.1-16"
"18129","2015","Indiana","IN","18","Posey County, IN","25512","10.1-12"
"18095","2014","Indiana","IN","18","Madison County, IN","129999","26.1-28"
"18117","2011","Indiana","IN","18","Orange County, IN","19905","8.1-10"
"18011","2010","Indiana","IN","18","Boone County, IN","56845","8.1-10"
"18087","2010","Indiana","IN","18","Lagrange County, IN","37156","2.1-4"
"18035","2014","Indiana","IN","18","Delaware County, IN","117201","18.1-20"
"18107","2002","Indiana","IN","18","Montgomery County, IN","37782","6.1-8"
"18153","2014","Indiana","IN","18","Sullivan County, IN","21003","20.1-22"
"18079","2011","Indiana","IN","18","Jennings County, IN","28204","14.1-16"
"18143","2009","Indiana","IN","18","Scott County, IN","24165","22.1-24"
"18089","2015","Indiana","IN","18","Lake County, IN","487865","6.1-8"
"18159","2015","Indiana","IN","18","Tipton County, IN","15267","20.1-22"
"18153","2012","Indiana","IN","18","Sullivan County, IN","21215","18.1-20"
"18177","2014","Indiana","IN","18","Wayne County, IN","67447","20.1-22"
"18025","2013","Indiana","IN","18","Crawford County, IN","10586","18.1-20"
"18075","2009","Indiana","IN","18","Jay County, IN","21399","10.1-12"
"18177","2005","Indiana","IN","18","Wayne County, IN","69793","12.1-14"
"18001","2012","Indiana","IN","18","Adams County, IN","34429","8.1-10"
"18155","2009","Indiana","IN","18","Switzerland County, IN","10541","12.1-14"
"18093","2012","Indiana","IN","18","Lawrence County, IN","46036","12.1-14"
"18021","2010","Indiana","IN","18","Clay County, IN","26853","10.1-12"
"18047","2012","Indiana","IN","18","Franklin County, IN","22984","16.1-18"
"18131","2013","Indiana","IN","18","Pulaski County, IN","13011","18.1-20"
"18051","2015","Indiana","IN","18","Gibson County, IN","33775","10.1-12"
"18021","2015","Indiana","IN","18","Clay County, IN","26503","14.1-16"
"18075","2015","Indiana","IN","18","Jay County, IN","21121","16.1-18"
"18071","2011","Indiana","IN","18","Jackson County, IN","42935","12.1-14"
"18181","2013","Indiana","IN","18","White County, IN","24339","12.1-14"
"18095","2015","Indiana","IN","18","Madison County, IN","129723","28.1-30"
"18129","2009","Indiana","IN","18","Posey County, IN","25941","6.1-8"
"18003","2014","Indiana","IN","18","Allen County, IN","365701","10.1-12"
"18031","2010","Indiana","IN","18","Decatur County, IN","25791","12.1-14"
"18141","2011","Indiana","IN","18","St. Joseph County, IN","266701","10.1-12"
"18131","2010","Indiana","IN","18","Pulaski County, IN","13356","14.1-16"
"18051","2013","Indiana","IN","18","Gibson County, IN","33576","10.1-12"
"18035","2015","Indiana","IN","18","Delaware County, IN","116852","20.1-22"
"18007","2011","Indiana","IN","18","Benton County, IN","8856","14.1-16"
"18051","2009","Indiana","IN","18","Gibson County, IN","33345","6.1-8"
"18073","2011","Indiana","IN","18","Jasper County, IN","33415","10.1-12"
"18083","2010","Indiana","IN","18","Knox County, IN","38389","10.1-12"
"18017","2010","Indiana","IN","18","Cass County, IN","38974","4.1-6"
"18079","2015","Indiana","IN","18","Jennings County, IN","27897","18.1-20"
"18109","2006","Indiana","IN","18","Morgan County, IN","68308","10.1-12"
"18025","2014","Indiana","IN","18","Crawford County, IN","10627","20.1-22"
"18037","2015","Indiana","IN","18","Dubois County, IN","42461","8.1-10"
"18147","2000","Indiana","IN","18","Spencer County, IN","20432","2.1-4"
"18057","2002","Indiana","IN","18","Hamilton County, IN","204721","2.1-4"
"18033","2006","Indiana","IN","18","De Kalb County, IN","41594","6.1-8"
"18125","2005","Indiana","IN","18","Pike County, IN","12879","4.1-6"
"18049","2009","Indiana","IN","18","Fulton County, IN","20772","8.1-10"
"18137","2001","Indiana","IN","18","Ripley County, IN","27130","4.1-6"
"18087","2003","Indiana","IN","18","Lagrange County, IN","35711","0-2"
"18105","2003","Indiana","IN","18","Monroe County, IN","124514","6.1-8"
"18111","2009","Indiana","IN","18","Newton County, IN","14207","8.1-10"
"18017","2002","Indiana","IN","18","Cass County, IN","40389","2.1-4"
"18055","2007","Indiana","IN","18","Greene County, IN","33020","10.1-12"
"18173","2005","Indiana","IN","18","Warrick County, IN","56066","4.1-6"
"18143","2000","Indiana","IN","18","Scott County, IN","23049","12.1-14"
"18159","2004","Indiana","IN","18","Tipton County, IN","16510","8.1-10"
"18143","2002","Indiana","IN","18","Scott County, IN","23370","14.1-16"
"18071","2009","Indiana","IN","18","Jackson County, IN","41798","10.1-12"
"18103","2001","Indiana","IN","18","Miami County, IN","36475","2.1-4"
"18051","2003","Indiana","IN","18","Gibson County, IN","32934","4.1-6"
"18157","2009","Indiana","IN","18","Tippecanoe County, IN","171937","10.1-12"
"18117","2003","Indiana","IN","18","Orange County, IN","19622","4.1-6"
"18101","2008","Indiana","IN","18","Martin County, IN","10304","6.1-8"
"18065","2006","Indiana","IN","18","Henry County, IN","48375","16.1-18"
"18099","2005","Indiana","IN","18","Marshall County, IN","46549","4.1-6"
"18021","2004","Indiana","IN","18","Clay County, IN","27015","6.1-8"
"18071","1999","Indiana","IN","18","Jackson County, IN","41159","4.1-6"
"18089","2002","Indiana","IN","18","Lake County, IN","484520","2.1-4"
"18175","2000","Indiana","IN","18","Washington County, IN","27247","4.1-6"
"18041","2002","Indiana","IN","18","Fayette County, IN","25094","10.1-12"
"18125","2003","Indiana","IN","18","Pike County, IN","12970","2.1-4"
"18055","2005","Indiana","IN","18","Greene County, IN","33320","8.1-10"
"18025","2005","Indiana","IN","18","Crawford County, IN","11012","8.1-10"
"18065","2007","Indiana","IN","18","Henry County, IN","48030","18.1-20"
"18179","1999","Indiana","IN","18","Wells County, IN","27521","4.1-6"
"18057","2000","Indiana","IN","18","Hamilton County, IN","185221","2.1-4"
"18029","1999","Indiana","IN","18","Dearborn County, IN","45678","6.1-8"
"18049","2006","Indiana","IN","18","Fulton County, IN","20563","6.1-8"
"18179","2003","Indiana","IN","18","Wells County, IN","27803","4.1-6"
"18017","2008","Indiana","IN","18","Cass County, IN","39070","4.1-6"
"18091","2006","Indiana","IN","18","La Porte County, IN","109641","6.1-8"
"18073","2000","Indiana","IN","18","Jasper County, IN","30334","4.1-6"
"18157","2005","Indiana","IN","18","Tippecanoe County, IN","158834","8.1-10"
"18037","2009","Indiana","IN","18","Dubois County, IN","41897","6.1-8"
"18145","2005","Indiana","IN","18","Shelby County, IN","43482","8.1-10"
"18089","2003","Indiana","IN","18","Lake County, IN","485596","2.1-4"
"18109","2009","Indiana","IN","18","Morgan County, IN","68583","12.1-14"
"18163","2006","Indiana","IN","18","Vanderburgh County, IN","176822","12.1-14"
"18023","2000","Indiana","IN","18","Clinton County, IN","33942","4.1-6"
"18117","2007","Indiana","IN","18","Orange County, IN","19868","6.1-8"
"18071","2006","Indiana","IN","18","Jackson County, IN","41725","8.1-10"
"18091","2003","Indiana","IN","18","La Porte County, IN","109027","6.1-8"
"18023","2009","Indiana","IN","18","Clinton County, IN","33280","10.1-12"
"18163","2002","Indiana","IN","18","Vanderburgh County, IN","173067","10.1-12"
"18009","2008","Indiana","IN","18","Blackford County, IN","12971","14.1-16"
"18121","2006","Indiana","IN","18","Parke County, IN","17376","6.1-8"
"18101","2009","Indiana","IN","18","Martin County, IN","10300","6.1-8"
"18125","2001","Indiana","IN","18","Pike County, IN","12905","2.1-4"
"18173","2003","Indiana","IN","18","Warrick County, IN","54439","2.1-4"
"18131","2003","Indiana","IN","18","Pulaski County, IN","13634","6.1-8"
"18081","2002","Indiana","IN","18","Johnson County, IN","120447","6.1-8"
"18127","2007","Indiana","IN","18","Porter County, IN","160835","8.1-10"
"18031","2007","Indiana","IN","18","Decatur County, IN","25486","10.1-12"
"18067","2000","Indiana","IN","18","Howard County, IN","84940","10.1-12"
"18005","2005","Indiana","IN","18","Bartholomew County, IN","73660","8.1-10"
"18083","1999","Indiana","IN","18","Knox County, IN","39438","4.1-6"
"18183","2005","Indiana","IN","18","Whitley County, IN","32182","4.1-6"
"18137","1999","Indiana","IN","18","Ripley County, IN","26329","4.1-6"
"18165","2006","Indiana","IN","18","Vermillion County, IN","16585","8.1-10"
"18073","2001","Indiana","IN","18","Jasper County, IN","30417","4.1-6"
"18047","2005","Indiana","IN","18","Franklin County, IN","23049","8.1-10"
"18173","2009","Indiana","IN","18","Warrick County, IN","59197","4.1-6"
"18029","2009","Indiana","IN","18","Dearborn County, IN","49931","12.1-14"
"18157","2008","Indiana","IN","18","Tippecanoe County, IN","169039","8.1-10"
"18131","2005","Indiana","IN","18","Pulaski County, IN","13682","8.1-10"
"18099","2009","Indiana","IN","18","Marshall County, IN","47126","6.1-8"
"18113","2000","Indiana","IN","18","Noble County, IN","46640","4.1-6"
"18033","2003","Indiana","IN","18","De Kalb County, IN","41047","4.1-6"
"18041","2005","Indiana","IN","18","Fayette County, IN","24700","12.1-14"
"18173","2001","Indiana","IN","18","Warrick County, IN","52780","2.1-4"
"18017","2009","Indiana","IN","18","Cass County, IN","38968","4.1-6"
"18011","2000","Indiana","IN","18","Boone County, IN","46390","4.1-6"
"18083","2002","Indiana","IN","18","Knox County, IN","38832","6.1-8"
"18039","2004","Indiana","IN","18","Elkhart County, IN","189316","4.1-6"
"18069","2009","Indiana","IN","18","Huntington County, IN","37205","8.1-10"
"18019","2006","Indiana","IN","18","Clark County, IN","104148","10.1-12"
"18003","2002","Indiana","IN","18","Allen County, IN","337124","4.1-6"
"18175","1999","Indiana","IN","18","Washington County, IN","27152","4.1-6"
"18135","2005","Indiana","IN","18","Randolph County, IN","26517","6.1-8"
"18063","2003","Indiana","IN","18","Hendricks County, IN","119340","4.1-6"
"18157","2004","Indiana","IN","18","Tippecanoe County, IN","155832","6.1-8"
"18109","2002","Indiana","IN","18","Morgan County, IN","67266","6.1-8"
"18135","2002","Indiana","IN","18","Randolph County, IN","26989","4.1-6"
"18007","2003","Indiana","IN","18","Benton County, IN","9148","6.1-8"
"18171","2003","Indiana","IN","18","Warren County, IN","8589","2.1-4"
"18045","2009","Indiana","IN","18","Fountain County, IN","17183","8.1-10"
"18093","1999","Indiana","IN","18","Lawrence County, IN","45840","4.1-6"
"18123","2001","Indiana","IN","18","Perry County, IN","18893","2.1-4"
"18103","2005","Indiana","IN","18","Miami County, IN","37445","4.1-6"
"18085","2004","Indiana","IN","18","Kosciusko County, IN","75447","4.1-6"
"18097","2009","Indiana","IN","18","Marion County, IN","898394","12.1-14"
"18027","2004","Indiana","IN","18","Daviess County, IN","30300","6.1-8"
"18107","2003","Indiana","IN","18","Montgomery County, IN","37634","8.1-10"
"18047","2003","Indiana","IN","18","Franklin County, IN","22700","8.1-10"
"18013","2008","Indiana","IN","18","Brown County, IN","15274","10.1-12"
"18141","2004","Indiana","IN","18","St. Joseph County, IN","264541","6.1-8"
"18021","2008","Indiana","IN","18","Clay County, IN","27058","8.1-10"
"18049","2004","Indiana","IN","18","Fulton County, IN","20466","6.1-8"
"18141","2001","Indiana","IN","18","St. Joseph County, IN","265502","4.1-6"
"18113","2006","Indiana","IN","18","Noble County, IN","47470","6.1-8"
"18151","2008","Indiana","IN","18","Steuben County, IN","34055","4.1-6"
"18089","2005","Indiana","IN","18","Lake County, IN","489530","4.1-6"
"18049","2005","Indiana","IN","18","Fulton County, IN","20540","6.1-8"
