county_fips,county_name,female_pop,total_pop,female_share,overdose_rate_midpoint,rate_range,min_drive_time_min,otp_access_tier,poverty_rate_pct,single_mother_pct,unemployment_rate_pct,uninsured_rate_pct,mh_events_per_100k,n_overdose,n_drive_time,n_poverty,n_single_mom,n_unemployment,n_uninsured,n_mh_events,composite_need_score,county_rank
18141,St. Joseph County,139102,272574,0.5103,6.66,12.1-14,7.5,0–15 min,7.45,8.2,2.55,3.73,3658.65,35.07,0.0,54.79,69.44,53.28,10.64,30.66,37.5,33
18007,Benton County,4244,8708,0.4874,9.28,18.1-20,22.5,15–30 min,5.9,6.7,1.75,3.12,1041.77,57.05,22.22,38.65,48.61,31.42,7.62,5.46,37.5,33
18043,Floyd County,41142,80512,0.511,8.71,16.1-18,7.5,0–15 min,5.11,7.7,1.94,2.61,10859.82,52.27,0.0,30.42,62.5,36.61,5.1,100.0,37.4,35
18107,Montgomery County,18725,38155,0.4908,9.35,18.1-20,22.5,15–30 min,5.84,5.5,1.87,4.02,4004.68,57.63,22.22,38.02,31.94,34.7,12.08,33.99,37.0,36
18021,Clay County,13339,26431,0.5047,7.6,14.1-16,22.5,15–30 min,5.4,7.7,1.97,2.88,4064.6,42.95,22.22,33.44,62.5,37.43,6.44,34.57,37.0,36
18155,Switzerland County,4876,9914,0.4918,11.34,22.1-24,22.5,15–30 min,5.46,3.7,2.02,6.44,795.58,74.33,22.22,34.06,6.94,38.8,24.06,3.09,36.1,38
18091,LaPorte County,54005,112141,0.4816,6.28,12.1-14,7.5,0–15 min,6.74,8.9,2.12,3.08,3362.87,31.88,0.0,47.4,79.17,41.53,7.43,27.81,35.2,39
18165,Vermillion County,7668,15452,0.4962,8.46,16.1-18,7.5,0–15 min,6.6,6.1,2.98,1.98,1852.07,50.17,0.0,45.94,40.28,65.03,1.98,13.27,35.0,40
18171,Warren County,4250,8469,0.5018,7.55,14.1-16,22.5,15–30 min,6.37,5.0,2.31,2.46,5712.54,42.53,22.22,43.54,25.0,46.72,4.36,50.44,34.9,41
18017,Cass County,18870,37703,0.5005,3.53,6.1-8,22.5,15–30 min,6.36,10.4,1.7,3.45,2562.71,8.81,22.22,43.44,100.0,30.05,9.26,20.11,34.8,42
18149,Starke County,11553,23300,0.4958,7.46,>30,22.5,15–30 min,7.34,5.8,1.69,3.22,1053.87,41.78,22.22,53.65,36.11,29.78,8.12,5.58,34.7,43
