county_fips,county_name,county_rank,composite_need_score,is_dove_house,overdose_rate_midpoint,rate_range,min_drive_time_min,avg_drive_time_min,otp_access_tier,poverty_rate_pct,median_hh_income,single_mother_pct,unemployment_rate_pct,uninsured_rate_pct,rent_burden_30pct_rate,mh_events_per_100k,self_harm_per_100k,n_overdose,n_drive_time,n_poverty,n_single_mom,n_unemployment,n_uninsured,n_mh_events
18055,Greene County,26,39.0,False,19.05,18.1-20,7.5,30.0,0–15 min,13.3,59753,6.5,6.4,8.1,32.0,4933.1,927.2,58.33,0.0,46.15,45.83,69.33,12.14,15.01
18075,Jay County,27,38.6,False,17.05,16.1-18,22.5,32.5,15–30 min,13.2,54114,6.7,3.8,9.7,35.5,6424.7,695.2,50.0,22.22,45.64,48.61,34.67,16.02,19.96
18077,Jefferson County,28,38.5,False,13.05,12.1-14,22.5,28.5,15–30 min,11.2,59987,9.2,4.1,8.8,35.6,10098.6,1339.4,33.33,22.22,35.38,83.33,38.67,13.83,32.15
18007,Benton County,29,38.3,False,19.05,18.1-20,22.5,35.0,15–30 min,12.1,61811,6.7,3.6,6.4,35.1,2790.5,459.3,58.33,22.22,40.0,48.61,32.0,8.01,7.9
18121,Parke County,30,37.8,False,13.05,12.1-14,22.5,28.9,15–30 min,17.2,66776,5.4,5.2,15.7,38.5,2392.0,232.5,33.33,22.22,66.15,30.56,53.33,30.58,6.58
18089,Lake County,31,37.4,False,7.05,6.1-8,7.5,9.2,0–15 min,14.6,68985,10.3,6.3,6.8,45.4,16943.0,1770.4,8.33,0.0,52.82,98.61,68.0,8.98,54.87
18107,Montgomery County,32,37.2,False,19.05,18.1-20,22.5,33.4,15–30 min,11.9,66571,5.5,3.8,8.2,38.3,9272.7,1263.3,58.33,22.22,38.97,31.94,34.67,12.38,29.41
18155,Switzerland County,33,36.6,False,23.05,22.1-24,22.5,26.2,15–30 min,11.1,65148,3.7,4.1,13.1,33.0,2077.9,282.4,75.0,22.22,34.87,6.94,38.67,24.27,5.53
18143,Scott County,33,36.6,False,15.05,>30,22.5,22.5,15–30 min,14.7,54583,6.5,3.4,3.7,35.1,7499.6,1001.3,41.67,22.22,53.33,45.83,29.33,1.46,23.53
18169,Wabash County,35,36.5,False,21.05,20.1-22,7.5,27.5,0–15 min,10.7,68414,7.2,3.6,6.8,37.0,7899.4,870.5,66.67,0.0,32.82,55.56,32.0,8.98,24.85
18043,Floyd County,36,36.4,False,17.05,16.1-18,7.5,15.0,0–15 min,10.0,78179,7.7,3.8,5.1,42.7,30542.0,1086.8,50.0,0.0,29.23,62.5,34.67,4.85,100.0
18021,Clay County,36,36.4,False,15.05,14.1-16,22.5,26.6,15–30 min,10.7,67676,7.7,3.9,5.7,29.3,10302.3,764.3,41.67,22.22,32.82,62.5,36.0,6.31,32.83
18091,LaPorte County,38,36.2,False,13.05,12.1-14,7.5,10.2,0–15 min,14.0,70452,8.9,4.4,6.4,40.3,8645.4,1493.7,33.33,0.0,49.74,79.17,42.67,8.01,27.33
18141,St. Joseph County,39,35.6,False,13.05,12.1-14,7.5,9.8,0–15 min,14.6,64885,8.2,5.0,7.3,47.4,4655.2,462.6,33.33,0.0,52.82,69.44,50.67,10.19,14.09
18165,Vermillion County,40,35.5,False,17.05,16.1-18,7.5,31.1,0–15 min,13.3,59363,6.1,6.0,4.0,41.5,7461.8,990.2,50.0,0.0,46.15,40.28,64.0,2.18,23.4
18149,Starke County,41,34.9,False,15.05,>30,22.5,27.5,15–30 min,14.8,62933,5.8,3.4,6.5,33.6,3446.4,356.2,41.67,22.22,53.85,36.11,29.33,8.25,10.08
18017,Cass County,42,34.6,False,7.05,6.1-8,22.5,29.2,15–30 min,12.7,56525,10.4,3.4,6.9,33.5,6691.8,875.3,8.33,22.22,43.08,100.0,29.33,9.22,20.85
18157,Tippecanoe County,43,34.5,False,15.05,14.1-16,7.5,11.0,0–15 min,19.0,58622,5.7,2.9,5.5,52.4,7788.2,1564.6,41.67,0.0,75.38,34.72,22.67,5.83,24.48
18047,Franklin County,44,34.2,False,21.05,20.1-22,22.5,28.9,15–30 min,8.5,79702,5.7,3.2,7.0,30.9,2996.2,178.8,66.67,22.22,21.54,34.72,26.67,9.47,8.58
18171,Warren County,45,34.1,False,15.05,14.1-16,22.5,37.5,15–30 min,12.7,74635,5.0,4.6,4.9,36.3,13425.4,1617.7,41.67,22.22,43.08,25.0,45.33,4.37,43.19
18045,Fountain County,46,34.0,False,13.05,12.1-14,22.5,35.4,15–30 min,12.4,62526,6.8,4.5,6.9,27.9,3735.0,489.5,33.33,22.22,41.54,50.0,44.0,9.22,11.03
18103,Miami County,46,34.0,False,11.05,10.1-12,7.5,24.4,0–15 min,15.2,61130,7.2,6.5,7.5,37.9,4101.0,469.6,25.0,0.0,55.9,55.56,70.67,10.68,12.25
18019,Clark County,46,34.0,False,19.05,18.1-20,7.5,15.6,0–15 min,9.3,72298,7.4,3.8,6.3,44.4,10609.1,1134.4,58.33,0.0,25.64,58.33,34.67,7.77,33.85
18137,Ripley County,49,33.7,False,17.05,16.1-18,22.5,28.1,15–30 min,9.6,71084,6.3,3.2,6.7,39.6,10974.9,1040.0,50.0,22.22,27.18,43.06,26.67,8.74,35.06
18005,Bartholomew County,49,33.7,True,17.05,16.1-18,7.5,20.6,0–15 min,12.0,80365,7.1,3.7,5.2,39.1,10223.1,1376.7,50.0,0.0,39.49,54.17,33.33,5.1,32.57
18039,Elkhart County,51,33.4,False,9.05,8.1-10,22.5,30.7,15–30 min,12.5,65617,8.5,3.4,14.7,45.6,6388.1,787.5,16.67,22.22,42.05,73.61,29.33,28.16,19.84
18181,White County,51,33.4,False,15.05,14.1-16,22.5,34.2,15–30 min,10.0,66143,6.4,4.8,7.2,39.1,4937.5,615.2,41.67,22.22,29.23,44.44,48.0,9.95,15.02
18119,Owen County,53,32.5,False,15.05,14.1-16,22.5,25.0,15–30 min,11.9,59586,5.4,4.6,9.4,29.3,410.6,56.0,41.67,22.22,38.97,30.56,45.33,15.29,0.0
18069,Huntington County,54,32.1,False,15.05,14.1-16,22.5,25.5,15–30 min,10.1,62734,6.5,3.2,6.3,34.3,8684.1,1082.8,41.67,22.22,29.74,45.83,26.67,7.77,27.46
18109,Morgan County,55,31.7,False,19.05,18.1-20,7.5,10.0,0–15 min,8.5,79088,6.9,3.8,5.1,42.1,8915.3,1225.7,58.33,0.0,21.54,51.39,34.67,4.85,28.23
18033,DeKalb County,56,31.6,False,13.05,12.1-14,22.5,30.0,15–30 min,10.1,70080,6.8,4.1,6.8,34.1,7080.6,649.3,33.33,22.22,29.74,50.0,38.67,8.98,22.14
18145,Shelby County,57,31.2,False,17.05,16.1-18,7.5,24.4,0–15 min,11.5,71301,5.7,4.0,6.2,35.8,12460.1,1356.9,50.0,0.0,36.92,34.72,37.33,7.52,39.99
18071,Jackson County,57,31.2,False,17.05,16.1-18,7.5,18.2,0–15 min,11.2,70208,6.2,3.1,9.2,34.4,12966.6,1053.6,50.0,0.0,35.38,41.67,25.33,14.81,41.67
18093,Lawrence County,57,31.2,False,15.05,14.1-16,22.5,27.5,15–30 min,11.3,65551,5.5,3.4,6.4,40.2,6710.7,765.4,41.67,22.22,35.9,31.94,29.33,8.01,20.91
18085,Kosciusko County,60,31.0,False,11.05,10.1-12,37.5,43.9,30–45 min,9.7,73922,6.3,2.9,11.1,41.9,4309.5,540.1,25.0,44.44,27.69,43.06,22.67,19.42,12.94
18003,Allen County,60,31.0,False,11.05,10.1-12,7.5,11.4,0–15 min,12.2,68839,8.1,4.6,8.2,42.0,8034.4,1040.9,25.0,0.0,40.51,68.06,45.33,12.38,25.3
18083,Knox County,62,30.8,False,15.05,14.1-16,7.5,21.1,0–15 min,13.4,58863,6.5,2.5,6.9,34.7,12390.6,1938.6,41.67,0.0,46.67,45.83,17.33,9.22,39.76
18101,Martin County,63,30.1,False,13.05,12.1-14,22.5,37.5,15–30 min,16.4,65345,4.6,2.1,7.1,33.7,2334.1,233.4,33.33,22.22,62.05,19.44,12.0,9.71,6.38
