EVENT_YR,EVENT_COUNTY,EVENT_COUNTY_POP,PATIENT_AGE_GROUP,NONPHYS_MENTAL_HEALTH_FLG_CNT,SUICIDAL_AND_SELF_HARM_FLG_CNT,HOMICIDAL_AND_HARM_TO_OTHERS_FLG_FLG_CNT,ETL_RUN_TIMESTAMP
2024,RIPLEY,29227,18 to 60,1324,190,713,7/24/2025 9:17
2020,VIGO,106130,60+,2954,193,916,7/24/2025 9:17
2022,WARRICK,65231,< 18,799,294,421,7/24/2025 9:17
2021,KNOX,35976,18 to 60,2384,549,631,7/24/2025 9:17
2021,STEUBEN,34702,60+,960,99,388,7/24/2025 9:17
2021,MONROE,140176,18 to 60,4346,773,1650,7/24/2025 9:17
2021,SHELBY,45101,18 to 60,2718,567,1836,7/24/2025 9:17
2022,STEUBEN,34772,< 18,196,65,163,7/24/2025 9:17
2022,VIGO,106082,60+,2059,166,796,7/24/2025 9:17
2022,STEUBEN,34772,60+,1062,90,434,7/24/2025 9:17
2024,HAMILTON,371645,< 18,2021,358,2373,7/24/2025 9:17
2021,JENNINGS,27513,60+,684,21,384,7/24/2025 9:17
2024,HARRISON,40006,18 to 60,1655,222,771,7/24/2025 9:17
2022,SHELBY,45189,18 to 60,2642,450,1645,7/24/2025 9:17
2021,HOWARD,83650,18 to 60,6148,1182,2729,7/24/2025 9:17
2017,HENRY,48178,18 to 60,929,182,413,7/24/2025 9:17
2019,STEUBEN,34759,< 18,129,54,170,7/24/2025 9:17
2019,STEUBEN,34759,60+,839,77,323,7/24/2025 9:17
2020,RUSH,16763,< 18,79,18,91,7/24/2025 9:17
2021,STEUBEN,34702,< 18,145,40,184,7/24/2025 9:17
2020,PUTNAM,36689,60+,736,25,297,7/24/2025 9:17
2020,SULLIVAN,20812,60+,511,17,204,7/24/2025 9:17
2017,DECATUR,26627,60+,642,31,201,7/24/2025 9:17
2021,JENNINGS,27513,< 18,177,63,225,7/24/2025 9:17
2019,PIKE,12383,18 to 60,88,24,88,7/24/2025 9:17
2022,VIGO,106082,< 18,432,216,251,7/24/2025 9:17
2017,WASHINGTON,27780,18 to 60,581,165,314,7/24/2025 9:17
2017,DECATUR,26627,< 18,48,22,85,7/24/2025 9:17
2017,PULASKI,12529,18 to 60,88,16,119,7/24/2025 9:17
2017,OHIO,5867,18 to 60,72,,57,7/24/2025 9:17
2021,SULLIVAN,20777,60+,531,19,174,7/24/2025 9:17
2022,RUSH,16672,60+,622,18,205,7/24/2025 9:17
2020,VIGO,106130,< 18,386,197,303,7/24/2025 9:17
2022,RUSH,16672,< 18,149,37,96,7/24/2025 9:17
2020,SULLIVAN,20812,< 18,70,28,84,7/24/2025 9:17
2021,SULLIVAN,20777,< 18,87,30,99,7/24/2025 9:17
2024,PULASKI,12385,18 to 60,325,69,178,7/24/2025 9:17
2020,PUTNAM,36689,< 18,49,14,53,7/24/2025 9:17
2018,OHIO,5880,18 to 60,35,,25,7/24/2025 9:17
2018,PIKE,12384,18 to 60,65,23,78,7/24/2025 9:17
2017,PIKE,12302,18 to 60,71,27,70,7/24/2025 9:17
2023,LAKE,500598,< 18,9650,1726,4694,7/24/2025 9:17
2024,LAPORTE,111706,18 to 60,5001,1140,2427,7/24/2025 9:17
2024,HUNTINGTON,36781,< 18,291,75,171,7/24/2025 9:17
2020,LAPORTE,112270,18 to 60,4015,1030,2450,7/24/2025 9:17
2022,LAPORTE,111822,18 to 60,4927,1284,2412,7/24/2025 9:17
2023,LAKE,500598,60+,30977,1305,9183,7/24/2025 9:17
2023,TIPPECANOE,188792,60+,5338,223,1573,7/24/2025 9:17
2019,BOONE,67915,60+,1786,41,660,7/24/2025 9:17
2019,HUNTINGTON,36544,60+,1054,57,441,7/24/2025 9:17
