EVENT_YR,EVENT_COUNTY,EVENT_COUNTY_POP,PATIENT_AGE_GROUP,NONPHYS_MENTAL_HEALTH_FLG_CNT,SUICIDAL_AND_SELF_HARM_FLG_CNT,HOMICIDAL_AND_HARM_TO_OTHERS_FLG_FLG_CNT,ETL_RUN_TIMESTAMP
2022,GRANT,65993,18 to 60,5592,879,3109,7/24/2025 9:17
2017,WABASH,31401,18 to 60,349,80,227,7/24/2025 9:17
2019,JASPER,33516,< 18,74,33,150,7/24/2025 9:17
2017,HARRISON,39797,60+,300,,125,7/24/2025 9:17
2018,RANDOLPH,24736,18 to 60,560,70,277,7/24/2025 9:17
2018,HARRISON,40258,< 18,68,26,167,7/24/2025 9:17
2020,OWEN,21318,60+,192,10,78,7/24/2025 9:17
2020,SHELBY,45060,60+,1074,39,284,7/24/2025 9:17
2021,PULASKI,12360,60+,328,,161,7/24/2025 9:17
2023,PULASKI,12385,60+,319,,115,7/24/2025 9:17
2023,HARRISON,40006,60+,1448,51,602,7/24/2025 9:17
2017,LAGRANGE,39247,18 to 60,351,83,211,7/24/2025 9:17
2019,KNOX,36603,< 18,152,52,137,7/24/2025 9:17
2021,LAGRANGE,40527,18 to 60,592,118,298,7/24/2025 9:17
2023,HARRISON,40006,< 18,252,75,225,7/24/2025 9:17
2022,WASHINGTON,28171,60+,599,40,281,7/24/2025 9:17
2023,SHELBY,45231,< 18,443,147,486,7/24/2025 9:17
2017,HARRISON,39797,< 18,21,,120,7/24/2025 9:17
2018,HARRISON,40258,60+,891,39,381,7/24/2025 9:17
2017,DELAWARE,115268,< 18,235,41,194,7/24/2025 9:17
2021,PULASKI,12360,< 18,32,12,41,7/24/2025 9:17
2022,UNION,6967,18 to 60,65,23,33,7/24/2025 9:17
2019,JASPER,33516,60+,580,30,254,7/24/2025 9:17
2020,SHELBY,45060,< 18,200,77,141,7/24/2025 9:17
2022,WASHINGTON,28171,< 18,114,31,155,7/24/2025 9:17
2021,GREENE,30862,18 to 60,768,179,373,7/24/2025 9:17
2023,PULASKI,12385,< 18,40,19,53,7/24/2025 9:17
2019,FOUNTAIN,16425,18 to 60,293,25,173,7/24/2025 9:17
2019,STARKE,23011,18 to 60,46,12,24,7/24/2025 9:17
2020,OWEN,21318,< 18,12,,,7/24/2025 9:17
2017,MARION,951247,18 to 60,28710,7865,14040,7/24/2025 9:17
2020,MARION,976659,18 to 60,57686,15214,30090,7/24/2025 9:17
2022,HAMILTON,365463,60+,7936,240,2840,7/24/2025 9:17
2021,WARRICK,64657,60+,4011,251,1254,7/24/2025 9:17
2024,JASPER,33535,18 to 60,854,147,601,7/24/2025 9:17
2024,DEARBORN,51215,60+,1493,51,412,7/24/2025 9:17
2020,WARRICK,63996,60+,3341,134,1092,7/24/2025 9:17
2019,JACKSON,44179,60+,1444,53,549,7/24/2025 9:17
2024,HENDRICKS,186387,18 to 60,8235,922,4644,7/24/2025 9:17
2023,HOWARD,83831,18 to 60,6078,1252,2901,7/24/2025 9:17
2020,HOWARD,83589,18 to 60,3783,955,1629,7/24/2025 9:17
2023,HENRY,48929,18 to 60,2143,437,694,7/24/2025 9:17
2021,WARRICK,64657,< 18,764,307,368,7/24/2025 9:17
2020,WARRICK,63996,< 18,495,208,255,7/24/2025 9:17
2022,HAMILTON,365463,< 18,1944,312,2191,7/24/2025 9:17
2021,LAPORTE,112513,60+,3148,168,1089,7/24/2025 9:17
2023,MONROE,139342,18 to 60,5420,842,1768,7/24/2025 9:17
2023,VIGO,106153,60+,1743,127,706,7/24/2025 9:17
2019,JOHNSON,158332,60+,2084,106,964,7/24/2025 9:17
2021,JASPER,33165,18 to 60,964,201,621,7/24/2025 9:17
2017,CLINTON,32155,< 18,52,21,75,7/24/2025 9:17
2019,JACKSON,44179,< 18,274,64,329,7/24/2025 9:17
2019,MARSHALL,46197,60+,2276,68,847,7/24/2025 9:17
2023,VIGO,106153,< 18,411,187,202,7/24/2025 9:17
2021,CLAY,26394,< 18,150,31,225,7/24/2025 9:17
2023,KNOX,36070,18 to 60,2506,453,743,7/24/2025 9:17
2020,KNOX,36256,18 to 60,2195,492,633,7/24/2025 9:17
2023,WASHINGTON,28205,18 to 60,973,153,492,7/24/2025 9:17
2021,LAPORTE,112513,< 18,335,170,352,7/24/2025 9:17
2019,MARSHALL,46197,< 18,235,40,197,7/24/2025 9:17
2019,JOHNSON,158332,< 18,237,78,307,7/24/2025 9:17
2021,CLAY,26394,60+,875,20,485,7/24/2025 9:17
2017,CLINTON,32155,60+,425,27,135,7/24/2025 9:17
2023,JENNINGS,27622,60+,794,30,370,7/24/2025 9:17
2024,DEARBORN,51215,< 18,338,122,221,7/24/2025 9:17
2021,RUSH,16679,60+,511,11,209,7/24/2025 9:17
2023,JENNINGS,27622,< 18,266,98,320,7/24/2025 9:17
2021,RUSH,16679,< 18,89,36,93,7/24/2025 9:17
2022,OWEN,21487,18 to 60,98,26,58,7/24/2025 9:17
2020,NEWTON,13799,18 to 60,49,13,28,7/24/2025 9:17
2017,OWEN,20779,18 to 60,,0,,7/24/2025 9:17
2018,ALLEN,375076,18 to 60,4014,562,2004,7/24/2025 9:17
2020,VIGO,106130,18 to 60,5095,1780,1845,7/24/2025 9:17
2021,VERMILLION,15435,60+,351,,142,7/24/2025 9:17
2022,WARRICK,65231,18 to 60,4812,1139,1819,7/24/2025 9:17
2019,STEUBEN,34759,18 to 60,1257,344,479,7/24/2025 9:17
2022,STEUBEN,34772,18 to 60,1312,301,600,7/24/2025 9:17
2022,VIGO,106082,18 to 60,3334,1102,1431,7/24/2025 9:17
2017,WARREN,8203,60+,438,11,73,7/24/2025 9:17
2020,PUTNAM,36689,18 to 60,979,198,438,7/24/2025 9:17
2022,ORANGE,19601,60+,232,,61,7/24/2025 9:17
2019,FRANKLIN,22763,60+,269,,137,7/24/2025 9:17
2023,MARSHALL,46352,18 to 60,1583,266,757,7/24/2025 9:17
2022,HUNTINGTON,36800,< 18,210,69,150,7/24/2025 9:17
2019,VERMILLION,15493,< 18,34,10,40,7/24/2025 9:17
2022,MONTGOMERY,38319,< 18,232,105,321,7/24/2025 9:17
2019,ORANGE,19657,60+,351,17,134,7/24/2025 9:17
2017,MARSHALL,46434,18 to 60,1919,213,541,7/24/2025 9:17
2021,SULLIVAN,20777,18 to 60,739,127,380,7/24/2025 9:17
2020,ORANGE,19850,60+,358,22,175,7/24/2025 9:17
2022,MONTGOMERY,38319,60+,1463,61,600,7/24/2025 9:17
2020,SULLIVAN,20812,18 to 60,726,125,302,7/24/2025 9:17
2020,RUSH,16763,18 to 60,622,80,401,7/24/2025 9:17
2022,ORANGE,19601,< 18,44,,40,7/24/2025 9:17
2021,MONTGOMERY,38057,60+,1512,47,607,7/24/2025 9:17
2022,HUNTINGTON,36800,60+,1074,27,449,7/24/2025 9:17
2021,JENNINGS,27513,18 to 60,1519,246,1016,7/24/2025 9:17
2022,SULLIVAN,20671,18 to 60,739,119,350,7/24/2025 9:17
2017,DECATUR,26627,18 to 60,956,166,387,7/24/2025 9:17
2021,MONTGOMERY,38057,< 18,185,87,236,7/24/2025 9:17
2018,FRANKLIN,22752,60+,145,13,76,7/24/2025 9:17
2019,VERMILLION,15493,60+,336,,184,7/24/2025 9:17
2020,ORANGE,19850,< 18,36,21,39,7/24/2025 9:17
2020,BLACKFORD,12105,60+,285,,78,7/24/2025 9:17
2022,RUSH,16672,18 to 60,1004,117,349,7/24/2025 9:17
2020,SWITZERLAND,9748,18 to 60,83,13,70,7/24/2025 9:17
2017,WARREN,8203,< 18,21,12,39,7/24/2025 9:17
2021,VERMILLION,15435,< 18,45,18,45,7/24/2025 9:17
2020,VERMILLION,15409,< 18,43,21,38,7/24/2025 9:17
2019,ORANGE,19657,< 18,27,14,50,7/24/2025 9:17
2020,VERMILLION,15409,60+,297,,136,7/24/2025 9:17
2023,SWITZERLAND,10019,18 to 60,78,,72,7/24/2025 9:17
2018,FRANKLIN,22752,< 18,10,,,7/24/2025 9:17
2020,BLACKFORD,12105,< 18,12,,29,7/24/2025 9:17
2019,FRANKLIN,22763,< 18,22,,21,7/24/2025 9:17
2023,LAKE,500598,18 to 60,40890,5647,18884,7/24/2025 9:17
2018,RIPLEY,28526,60+,443,,162,7/24/2025 9:17
2020,DEKALB,43292,60+,829,23,270,7/24/2025 9:17
2024,WAYNE,66127,< 18,429,232,342,7/24/2025 9:17
2023,NOBLE,47430,18 to 60,1771,282,733,7/24/2025 9:17
2019,BOONE,67915,18 to 60,2743,223,1563,7/24/2025 9:17
2024,JAY,20032,18 to 60,624,78,240,7/24/2025 9:17
2023,TIPPECANOE,188792,18 to 60,8169,1699,3769,7/24/2025 9:17
2023,BARTHOLOMEW,84003,60+,3283,131,1276,7/24/2025 9:17
2019,SHELBY,44771,60+,1084,57,371,7/24/2025 9:17
2024,DEKALB,44198,< 18,304,67,209,7/24/2025 9:17
2024,DEKALB,44198,60+,1201,31,391,7/24/2025 9:17
2019,HUNTINGTON,36544,18 to 60,1584,335,589,7/24/2025 9:17
2021,WAYNE,66435,< 18,332,184,286,7/24/2025 9:17
2017,VERMILLION,15507,18 to 60,172,67,47,7/24/2025 9:17
2021,WAYNE,66435,60+,3144,212,783,7/24/2025 9:17
2017,HUNTINGTON,36253,18 to 60,661,175,434,7/24/2025 9:17
2024,WAYNE,66127,60+,2580,139,582,7/24/2025 9:17
2024,HUNTINGTON,36781,18 to 60,1687,282,572,7/24/2025 9:17
2024,FAYETTE,23362,< 18,161,87,154,7/24/2025 9:17
2024,FAYETTE,23362,60+,1063,31,359,7/24/2025 9:17
2019,DEKALB,43561,60+,870,31,264,7/24/2025 9:17
2019,RANDOLPH,24533,18 to 60,562,83,298,7/24/2025 9:17
2022,WARREN,8488,18 to 60,536,84,416,7/24/2025 9:17
2022,POSEY,25098,60+,497,18,285,7/24/2025 9:17
2020,DEKALB,43292,< 18,100,39,94,7/24/2025 9:17
2018,HUNTINGTON,36249,18 to 60,386,117,293,7/24/2025 9:17
2019,DEKALB,43561,< 18,101,32,128,7/24/2025 9:17
2024,VERMILLION,15417,18 to 60,570,96,224,7/24/2025 9:17
2020,POSEY,25185,60+,615,17,236,7/24/2025 9:17
2019,SHELBY,44771,< 18,151,55,180,7/24/2025 9:17
2021,TIPTON,15394,< 18,17,,33,7/24/2025 9:17
2018,RIPLEY,28526,< 18,27,,30,7/24/2025 9:17
2023,BARTHOLOMEW,84003,< 18,607,198,463,7/24/2025 9:17
2023,WARREN,8518,18 to 60,542,60,352,7/24/2025 9:17
2021,TIPTON,15394,60+,252,,66,7/24/2025 9:17
2018,VERMILLION,15508,18 to 60,89,35,45,7/24/2025 9:17
2024,FRANKLIN,23096,18 to 60,268,27,86,7/24/2025 9:17
2022,POSEY,25098,< 18,43,,24,7/24/2025 9:17
2024,POSEY,25040,60+,459,26,297,7/24/2025 9:17
2024,BLACKFORD,11893,18 to 60,52,,48,7/24/2025 9:17
2020,POSEY,25185,< 18,52,,19,7/24/2025 9:17
2024,POSEY,25040,< 18,43,10,35,7/24/2025 9:17
2018,DELAWARE,114118,18 to 60,3869,855,1110,7/24/2025 9:17
2017,JOHNSON,153879,60+,1283,82,570,7/24/2025 9:17
2020,PERRY,19155,18 to 60,845,155,295,7/24/2025 9:17
2019,BARTHOLOMEW,84063,18 to 60,2693,592,802,7/24/2025 9:17
2019,DELAWARE,113769,18 to 60,3711,695,1295,7/24/2025 9:17
2024,MORGAN,73227,60+,2435,101,918,7/24/2025 9:17
2021,DECATUR,26353,60+,689,12,410,7/24/2025 9:17
2017,FAYETTE,23138,18 to 60,784,205,283,7/24/2025 9:17
2019,WARRICK,62851,60+,3641,151,999,7/24/2025 9:17
2022,DEKALB,43813,18 to 60,1670,317,634,7/24/2025 9:17
2018,DEKALB,43231,18 to 60,295,55,66,7/24/2025 9:17
2017,SHELBY,44378,18 to 60,1143,301,617,7/24/2025 9:17
2024,MORGAN,73227,< 18,538,200,635,7/24/2025 9:17
2019,WARRICK,62851,< 18,493,167,312,7/24/2025 9:17
2021,DEARBORN,50875,60+,1283,69,455,7/24/2025 9:17
2024,WHITE,24917,< 18,140,47,102,7/24/2025 9:17
2020,TIPTON,15392,18 to 60,205,27,98,7/24/2025 9:17
2021,DECATUR,26353,< 18,94,40,72,7/24/2025 9:17
2024,WHITE,24917,60+,494,14,150,7/24/2025 9:17
2023,DECATUR,26399,60+,722,17,311,7/24/2025 9:17
2017,JOHNSON,153879,< 18,136,41,95,7/24/2025 9:17
2023,DECATUR,26399,< 18,147,65,108,7/24/2025 9:17
2021,DEARBORN,50875,< 18,180,59,163,7/24/2025 9:17
2021,POSEY,25165,18 to 60,498,76,224,7/24/2025 9:17
2017,POSEY,25563,18 to 60,340,61,234,7/24/2025 9:17
2018,SWITZERLAND,10757,18 to 60,45,,50,7/24/2025 9:17
2020,PIKE,12249,18 to 60,94,36,99,7/24/2025 9:17
2022,PIKE,12143,18 to 60,109,19,86,7/24/2025 9:17
2017,DEARBORN,49634,18 to 60,1228,208,696,7/24/2025 9:17
2019,MARION,963829,18 to 60,54298,14222,27109,7/24/2025 9:17
2024,PORTER,175335,18 to 60,8710,1014,2538,7/24/2025 9:17
2018,MORGAN,70108,18 to 60,2860,713,2093,7/24/2025 9:17
2017,WARRICK,62433,18 to 60,3001,697,1253,7/24/2025 9:17
2017,MADISON,129465,60+,3210,186,823,7/24/2025 9:17
2021,WHITLEY,34470,60+,988,77,467,7/24/2025 9:17
2020,DECATUR,26474,18 to 60,983,198,444,7/24/2025 9:17
2021,WHITLEY,34470,< 18,207,79,183,7/24/2025 9:17
2017,MADISON,129465,< 18,204,67,278,7/24/2025 9:17
2020,TIPPECANOE,186387,60+,4422,213,1682,7/24/2025 9:17
2019,HANCOCK,78159,60+,1843,61,782,7/24/2025 9:17
2021,PORTER,174551,18 to 60,11343,1054,5403,7/24/2025 9:17
2022,WELLS,28298,60+,356,11,172,7/24/2025 9:17
2020,GIBSON,33049,60+,557,23,447,7/24/2025 9:17
2024,BOONE,76120,18 to 60,2973,238,1442,7/24/2025 9:17
2018,GIBSON,33622,60+,497,26,362,7/24/2025 9:17
2021,JEFFERSON,33117,60+,1434,37,600,7/24/2025 9:17
2019,DECATUR,26472,18 to 60,1045,176,345,7/24/2025 9:17
2018,MIAMI,35652,< 18,23,,63,7/24/2025 9:17
2019,HANCOCK,78159,< 18,141,43,232,7/24/2025 9:17
2020,TIPPECANOE,186387,< 18,493,183,581,7/24/2025 9:17
2017,BENTON,8637,60+,49,,44,7/24/2025 9:17
2018,MIAMI,35652,60+,439,11,167,7/24/2025 9:17
2023,GIBSON,32904,60+,670,20,433,7/24/2025 9:17
2019,GIBSON,33709,60+,463,34,336,7/24/2025 9:17
2018,GIBSON,33622,< 18,35,13,71,7/24/2025 9:17
2021,OHIO,5994,60+,69,,68,7/24/2025 9:17
2024,OHIO,6004,60+,73,,33,7/24/2025 9:17
2018,WELLS,27982,60+,215,,123,7/24/2025 9:17
2021,JEFFERSON,33117,< 18,222,98,278,7/24/2025 9:17
2022,WELLS,28298,< 18,32,,57,7/24/2025 9:17
2020,GIBSON,33049,< 18,46,30,90,7/24/2025 9:17
2023,GIBSON,32904,< 18,110,44,143,7/24/2025 9:17
2017,WELLS,27934,60+,101,,67,7/24/2025 9:17
2021,OWEN,21514,60+,136,11,83,7/24/2025 9:17
2017,BENTON,8637,< 18,,0,,7/24/2025 9:17
2018,CARROLL,20208,60+,67,,25,7/24/2025 9:17
2017,MARTIN,10188,60+,,,,7/24/2025 9:17
2019,GIBSON,33709,< 18,75,32,110,7/24/2025 9:17
2023,NEWTON,13960,60+,132,,59,7/24/2025 9:17
2018,WELLS,27982,< 18,19,,22,7/24/2025 9:17
2017,WELLS,27934,< 18,,,,7/24/2025 9:17
2018,CARROLL,20208,< 18,,,,7/24/2025 9:17
2024,OHIO,6004,< 18,,0,10,7/24/2025 9:17
2017,MARTIN,10188,< 18,0,0,0,7/24/2025 9:17
2023,NEWTON,13960,< 18,15,,13,7/24/2025 9:17
2021,OHIO,5994,< 18,,,,7/24/2025 9:17
2021,OWEN,21514,< 18,15,,,7/24/2025 9:17
2021,TIPPECANOE,187423,18 to 60,8004,1749,4004,7/24/2025 9:17
2021,MADISON,130841,18 to 60,8538,1956,5248,7/24/2025 9:17
2023,JEFFERSON,33056,18 to 60,1649,268,1147,7/24/2025 9:17
2018,LAKE,484918,18 to 60,28594,5223,17581,7/24/2025 9:17
2023,STEUBEN,34917,60+,1074,58,374,7/24/2025 9:17
2023,JACKSON,46460,60+,1692,41,781,7/24/2025 9:17
2021,HANCOCK,81891,18 to 60,2270,316,1534,7/24/2025 9:17
2017,VIGO,107648,60+,2458,180,704,7/24/2025 9:17
2023,DUBOIS,43546,60+,2085,57,473,7/24/2025 9:17
2017,ORANGE,19413,18 to 60,228,48,91,7/24/2025 9:17
2022,DUBOIS,43492,60+,2247,81,507,7/24/2025 9:17
2019,JENNINGS,27662,60+,440,35,189,7/24/2025 9:17
2021,KOSCIUSKO,80237,18 to 60,2056,446,916,7/24/2025 9:17
2020,MADISON,130167,18 to 60,5524,1416,2440,7/24/2025 9:17
2022,DAVIESS,33496,60+,766,19,281,7/24/2025 9:17
2018,PUTNAM,37494,60+,613,23,208,7/24/2025 9:17
2021,CLARK,122895,60+,2565,128,599,7/24/2025 9:17
2022,JEFFERSON,32936,18 to 60,1674,263,1001,7/24/2025 9:17
2023,STEUBEN,34917,< 18,233,71,171,7/24/2025 9:17
2020,HANCOCK,80180,18 to 60,1953,355,1349,7/24/2025 9:17
2022,OHIO,6097,18 to 60,47,,38,7/24/2025 9:17
2021,LAWRENCE,45066,60+,1096,52,423,7/24/2025 9:17
2023,PARKE,16484,60+,140,,86,7/24/2025 9:17
2017,MIAMI,35903,18 to 60,338,71,226,7/24/2025 9:17
2021,LAWRENCE,45066,< 18,113,49,149,7/24/2025 9:17
2021,CLARK,122895,< 18,171,49,184,7/24/2025 9:17
2017,TIPTON,15148,60+,226,,66,7/24/2025 9:17
2020,SPENCER,19833,60+,223,12,149,7/24/2025 9:17
2024,MIAMI,35402,18 to 60,800,118,494,7/24/2025 9:17
2018,SPENCER,20385,60+,183,11,155,7/24/2025 9:17
2023,JACKSON,46460,< 18,459,141,515,7/24/2025 9:17
2017,VIGO,107648,< 18,210,81,218,7/24/2025 9:17
2019,JENNINGS,27662,< 18,84,28,61,7/24/2025 9:17
2018,BENTON,8677,18 to 60,54,20,41,7/24/2025 9:17
2018,PUTNAM,37494,< 18,40,11,63,7/24/2025 9:17
2019,MIAMI,35488,18 to 60,303,43,162,7/24/2025 9:17
2022,DUBOIS,43492,< 18,295,99,134,7/24/2025 9:17
2018,PARKE,16955,60+,93,,57,7/24/2025 9:17
2017,TIPTON,15148,< 18,,0,31,7/24/2025 9:17
2023,BROWN,15653,18 to 60,45,,19,7/24/2025 9:17
2023,DUBOIS,43546,< 18,448,144,187,7/24/2025 9:17
2017,SPENCER,20441,60+,142,10,122,7/24/2025 9:17
2022,DAVIESS,33496,< 18,119,29,67,7/24/2025 9:17
2023,MARTIN,9897,18 to 60,105,18,77,7/24/2025 9:17
2020,WELLS,28155,18 to 60,173,38,122,7/24/2025 9:17
2023,SPENCER,19910,60+,257,11,182,7/24/2025 9:17
2024,OWEN,21532,18 to 60,45,12,27,7/24/2025 9:17
2017,SPENCER,20441,< 18,16,,20,7/24/2025 9:17
2017,NEWTON,14036,18 to 60,34,,13,7/24/2025 9:17
2018,SPENCER,20385,< 18,18,,22,7/24/2025 9:17
2018,PARKE,16955,< 18,,0,12,7/24/2025 9:17
2020,SPENCER,19833,< 18,22,,12,7/24/2025 9:17
2023,SPENCER,19910,< 18,22,,25,7/24/2025 9:17
2023,PARKE,16484,< 18,11,,17,7/24/2025 9:17
2018,NEWTON,13979,18 to 60,,,,7/24/2025 9:17
2023,JOHNSON,167819,18 to 60,3400,676,1742,7/24/2025 9:17
2017,FLOYD,77043,60+,2605,43,197,7/24/2025 9:17
2024,ALLEN,394545,< 18,3270,818,1411,7/24/2025 9:17
2022,JOHNSON,165686,18 to 60,3187,663,1533,7/24/2025 9:17
2018,HAMILTON,330635,< 18,364,79,473,7/24/2025 9:17
2023,WARRICK,65867,18 to 60,4858,783,1902,7/24/2025 9:17
2024,HANCOCK,86166,60+,2048,61,875,7/24/2025 9:17
2018,HAMILTON,330635,60+,3917,129,1284,7/24/2025 9:17
2024,ALLEN,394545,60+,10695,398,2957,7/24/2025 9:17
2018,PORTER,169647,< 18,311,89,147,7/24/2025 9:17
2017,WHITE,24178,60+,334,,59,7/24/2025 9:17
2024,CRAWFORD,10438,60+,48,0,36,7/24/2025 9:17
2023,FOUNTAIN,16731,60+,317,12,188,7/24/2025 9:17
2019,DAVIESS,33439,18 to 60,606,133,268,7/24/2025 9:17
2019,GRANT,65836,60+,2225,75,720,7/24/2025 9:17
2019,CASS,37610,< 18,103,20,134,7/24/2025 9:17
2018,LAWRENCE,45690,18 to 60,805,144,346,7/24/2025 9:17
2024,HANCOCK,86166,< 18,405,125,398,7/24/2025 9:17
2022,TIPTON,15325,18 to 60,198,24,121,7/24/2025 9:17
2017,FLOYD,77043,< 18,67,18,114,7/24/2025 9:17
2019,GRANT,65836,< 18,254,44,225,7/24/2025 9:17
2022,STARKE,23203,60+,276,10,89,7/24/2025 9:17
2019,TIPTON,15133,18 to 60,164,23,117,7/24/2025 9:17
2018,JENNINGS,27650,18 to 60,785,178,329,7/24/2025 9:17
2020,FULTON,20469,18 to 60,1013,106,368,7/24/2025 9:17
2022,STARKE,23203,< 18,35,,44,7/24/2025 9:17
2017,WHITE,24178,< 18,17,,72,7/24/2025 9:17
2018,PORTER,169647,60+,2837,75,513,7/24/2025 9:17
2024,PUTNAM,37567,18 to 60,700,158,525,7/24/2025 9:17
2019,CASS,37610,60+,809,25,224,7/24/2025 9:17
2017,PARKE,16902,18 to 60,104,20,47,7/24/2025 9:17
2020,FOUNTAIN,16492,60+,421,,207,7/24/2025 9:17
2021,UNION,7018,60+,62,,39,7/24/2025 9:17
2023,FOUNTAIN,16731,< 18,40,18,31,7/24/2025 9:17
2024,CRAWFORD,10438,< 18,,,,7/24/2025 9:17
2020,FOUNTAIN,16492,< 18,26,,22,7/24/2025 9:17
2021,UNION,7018,< 18,,,,7/24/2025 9:17
2022,HENDRICKS,183119,60+,3640,130,1520,7/24/2025 9:17
2021,SHELBY,45101,60+,1733,57,716,7/24/2025 9:17
2022,PULASKI,12449,60+,290,12,108,7/24/2025 9:17
2019,HAMILTON,337955,18 to 60,5030,748,2629,7/24/2025 9:17
2020,CASS,37786,18 to 60,749,94,336,7/24/2025 9:17
2018,CASS,37885,18 to 60,1179,174,676,7/24/2025 9:17
2023,CASS,37666,18 to 60,1520,214,799,7/24/2025 9:17
2017,STARKE,22946,18 to 60,312,48,132,7/24/2025 9:17
2020,HAMILTON,348996,60+,4863,171,1694,7/24/2025 9:17
2017,HOWARD,82302,60+,2044,121,596,7/24/2025 9:17
2018,JASPER,33356,60+,476,16,218,7/24/2025 9:17
2020,HAMILTON,348996,< 18,710,173,754,7/24/2025 9:17
2023,JASPER,33535,60+,828,36,309,7/24/2025 9:17
2022,HENDRICKS,183119,< 18,685,157,1026,7/24/2025 9:17
2022,MONROE,139621,60+,1463,33,444,7/24/2025 9:17
2020,MONROE,139585,60+,2028,107,635,7/24/2025 9:17
2022,MONROE,139621,< 18,219,55,186,7/24/2025 9:17
2024,RIPLEY,29227,60+,1615,46,460,7/24/2025 9:17
2021,SCOTT,24422,18 to 60,1380,249,779,7/24/2025 9:17
2018,JASPER,33356,< 18,64,26,132,7/24/2025 9:17
2018,KNOX,36602,60+,1532,85,366,7/24/2025 9:17
2021,MONROE,140176,60+,1964,104,512,7/24/2025 9:17
2017,JAY,20879,18 to 60,376,69,107,7/24/2025 9:17
2020,MONROE,139585,< 18,147,44,136,7/24/2025 9:17
2021,MONROE,140176,< 18,221,62,168,7/24/2025 9:17
2017,HANCOCK,75040,60+,1213,57,352,7/24/2025 9:17
2022,CASS,37537,18 to 60,1178,208,562,7/24/2025 9:17
2018,OWEN,20879,60+,153,11,102,7/24/2025 9:17
2024,LAGRANGE,40907,18 to 60,725,109,305,7/24/2025 9:17
2017,HOWARD,82302,< 18,104,53,186,7/24/2025 9:17
2017,HANCOCK,75040,< 18,114,35,151,7/24/2025 9:17
2021,NEWTON,13820,60+,114,,60,7/24/2025 9:17
2018,KNOX,36602,< 18,115,34,130,7/24/2025 9:17
2023,JASPER,33535,< 18,200,102,216,7/24/2025 9:17
2024,STARKE,23206,18 to 60,369,62,223,7/24/2025 9:17
2024,RIPLEY,29227,< 18,248,66,306,7/24/2025 9:17
2020,JASPER,32908,60+,626,34,272,7/24/2025 9:17
2021,FOUNTAIN,16480,18 to 60,332,33,167,7/24/2025 9:17
2021,SHELBY,45101,< 18,334,146,396,7/24/2025 9:17
2021,CASS,37558,18 to 60,400,46,203,7/24/2025 9:17
2020,JASPER,32908,< 18,64,31,98,7/24/2025 9:17
2022,PULASKI,12449,< 18,39,19,43,7/24/2025 9:17
2023,UNION,6973,18 to 60,75,19,30,7/24/2025 9:17
2018,OWEN,20879,< 18,21,,19,7/24/2025 9:17
2021,NEWTON,13820,< 18,10,,,7/24/2025 9:17
2021,VIGO,106116,60+,2776,147,841,7/24/2025 9:17
2022,MARION,969223,18 to 60,63556,14471,34433,7/24/2025 9:17
2018,HARRISON,40258,18 to 60,968,150,692,7/24/2025 9:17
2021,MARION,971543,18 to 60,67959,15672,35387,7/24/2025 9:17
2017,HENDRICKS,163637,60+,3514,101,833,7/24/2025 9:17
2023,VANDERBURGH,179810,18 to 60,11552,1995,5885,7/24/2025 9:17
2017,HARRISON,39797,18 to 60,352,43,442,7/24/2025 9:17
2024,CLAY,26460,60+,857,17,381,7/24/2025 9:17
2017,HENDRICKS,163637,< 18,167,70,348,7/24/2025 9:17
2019,JASPER,33516,18 to 60,785,166,603,7/24/2025 9:17
2017,DUBOIS,42520,60+,1330,26,290,7/24/2025 9:17
2024,SULLIVAN,20757,60+,509,10,150,7/24/2025 9:17
2022,MARSHALL,46378,60+,1336,51,402,7/24/2025 9:17
2020,MARSHALL,46071,60+,2307,68,800,7/24/2025 9:17
2020,JOHNSON,162237,60+,2386,100,990,7/24/2025 9:17
2020,CLARK,121360,60+,2030,61,536,7/24/2025 9:17
2023,HAMILTON,371645,< 18,1992,376,2273,7/24/2025 9:17
2020,SHELBY,45060,18 to 60,1864,487,660,7/24/2025 9:17
2020,OWEN,21318,18 to 60,205,52,104,7/24/2025 9:17
2023,HARRISON,40006,18 to 60,1599,230,771,7/24/2025 9:17
2018,PULASKI,12502,18 to 60,153,27,190,7/24/2025 9:17
2020,RIPLEY,28980,18 to 60,1685,174,547,7/24/2025 9:17
2022,CLAY,26410,60+,1039,26,429,7/24/2025 9:17
2023,SHELBY,45231,18 to 60,2913,420,1811,7/24/2025 9:17
2019,KNOX,36603,18 to 60,2300,521,675,7/24/2025 9:17
2018,JEFFERSON,32169,18 to 60,1795,360,1151,7/24/2025 9:17
2024,CLAY,26460,< 18,206,39,230,7/24/2025 9:17
2023,HAMILTON,371645,60+,8126,265,2750,7/24/2025 9:17
2022,WASHINGTON,28171,18 to 60,976,202,579,7/24/2025 9:17
2022,MARSHALL,46378,< 18,241,91,213,7/24/2025 9:17
2018,MARSHALL,46311,< 18,209,38,141,7/24/2025 9:17
2022,RIPLEY,29030,18 to 60,1377,187,750,7/24/2025 9:17
2019,HENRY,48025,18 to 60,932,158,377,7/24/2025 9:17
2020,CLARK,121360,< 18,124,38,125,7/24/2025 9:17
2022,CLAY,26410,< 18,220,41,229,7/24/2025 9:17
2020,MARSHALL,46071,< 18,240,65,153,7/24/2025 9:17
